"Date","Site","Sp_Cond.uScm.UP","Temp.C.UP","DO.mgL.UP","DO.pct.UP","pH.UP","TSS.mgL.UP","Chl.mgL.UP","PO4.ugL.UP","NH4.ugL.UP","Cl.mgL.UP","NO3.mgL.UP","SO4.mgL.UP","Br.mgL.UP","DOC.mgL.UP","TDN.mgL.UP","DIN.mgL.UP","DON.mgL.UP","TDP.mgL.UP","CH4.mM.UP","CH4.uatm.UP","N2O.mM.UP","N2O.uatm.UP","CO2.ppm.UP","AFDM.pct.UP","AFDM.mgL.UP","Ash.pct.UP","Ash.mgL.UP","PC.mgL.UP","PN.mgL.UP","TN.mgL.UP","NAr_sat.UP","NArcalc.mean.UP","N2.mM.mean.UP","Discharge.m3s.UP","Runoff.mmd.UP","SArea.km2.UP","Sp_CondCA.UP","TempCA.UP","DO.mgLCA.UP","DO.pctCA.UP","TSSCA.UP","ChlCA.UP","PO4CA.UP","NH4CA.UP","ClCA.UP","NO3CA.UP","SO4CA.UP","BrCA.UP","DOCCA.UP","TDNCA.UP","DONCA.UP","DINCA.UP","TDPCA.UP","N2OCA.UP","CH4CA.UP","AFDM.mgLCA.UP","Ash.mgLCA.UP","PCCA.UP","PNCA.UP","TNCA.UP","NArCA.UP","N2CA.UP","TSS.kgDay.UP","Chl.kgday.UP","PO4.kgday.UP","NH4.kgDay.UP","Cl.kgDay.UP","NO3.kgDay.UP","SO4.kgDay.UP","Br.kgDay.UP","DOC.kgDay.UP","TDN.kgDay.UP","DON.kgDay.UP","DIN.kgDay.UP","TDP.kgDay.UP","AFDM.kgDay.UP","Ash.kgDay.UP","PC.kgDay.UP","PN.kgDay.UP","TN.kgDay.UP","Sample","Location","Time","CArea.km2","Cond.uScm","Sp_Cond.uScm.OUT","Temp.C.OUT","DO.mgL.OUT","DO.pct.OUT","pH.OUT","TSS.mgL.OUT","Chl.mgL.OUT","UNH_ID","PO4.ugL.OUT","NH4.ugL.OUT","Cl.mgL.OUT","NO3.mgL.OUT","SO4.mgL.OUT","Br.mgL.OUT","DOC.mgL.OUT","TDN.mgL.OUT","DIN.mgL.OUT","DON.mgL.OUT","TDP.mgL.OUT","Q_est.m3s","CH4.mM.OUT","CH4.uatm.OUT","N2O.mM.OUT","N2O.uatm.OUT","CO2.ppm.OUT","Gas_Flag","AFDM.pct.OUT","AFDM.mgL.OUT","Ash.pct.OUT","Ash.mgL.OUT","PC.mgL.OUT","PN.mgL.OUT","TN.mgL.OUT","NAr_sat.OUT","NAr_calc.A","NAr_calc.B","NAr_calc.C","NArcalc.mean.OUT","N2.mM.A","N2.mM.B","N2.mM.C","N2.mM.mean.OUT","Notes","DateTime","Year","DateTime15","NArDisEq","Discharge.m3s.OUT","Runoff.mmd.OUT","SArea.km2.OUT","Sp_CondCA.OUT","TempCA.OUT","DO.mgLCA.OUT","DO.pctCA.OUT","TSSCA.OUT","ChlCA.OUT","PO4CA.OUT","NH4CA.OUT","ClCA.OUT","NO3CA.OUT","SO4CA.OUT","BrCA.OUT","DOCCA.OUT","TDNCA.OUT","DONCA.OUT","DINCA.OUT","TDPCA.OUT","N2OCA.OUT","CH4CA.OUT","AFDM.mgLCA.OUT","Ash.mgLCA.OUT","PCCA.OUT","PNCA.OUT","TNCA.OUT","NArCA.OUT","N2CA.OUT","TSS.kgDay.OUT","Chl.kgday.OUT","PO4.kgday.OUT","NH4.kgDay.OUT","Cl.kgDay.OUT","NO3.kgDay.OUT","SO4.kgDay.OUT","Br.kgDay.OUT","DOC.kgDay.OUT","TDN.kgDay.OUT","DON.kgDay.OUT","DIN.kgDay.OUT","TDP.kgDay.OUT","AFDM.kgDay.OUT","Ash.kgDay.OUT","PC.kgDay.OUT","PN.kgDay.OUT","TN.kgDay.OUT","RSpCond","RTemp","RDO.mgL","RDO.pct","RTSS","RChl","RPO4","RNH4","RCl","RNO3","RSO4","RBr","RDOC","RTDN","RDON","RDIN","RTDN2","RDON2","RDIN2","RTDP","RN2O","RCH4","RAFDM","RAsh","RPC","RPN","RTN","RNAr","RN2","RFlag","Delta_TSS.kgDay","Delta_Chl.kgday","Delta_PO4.kgday","Delta_NH4.kgDay","Delta_Cl.kgDay","Delta_NO3.kgDay","Delta_SO4.kgDay","Delta_Br.kgDay","Delta_DOC.kgDay","Delta_TDN.kgDay","Delta_DON.kgDay","Delta_DIN.kgDay","Delta_TDP.kgDay","Delta_AFDM.kgDay","Delta_Ash.kgDay","Delta_PC.kgDay","Delta_PN.kgDay","Delta_TN.kgDay","HL.myr","Runoff.mmd","Month","Season","DOY"
2015-06-18,"ID",850.6,39.7,9.57,159.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46332068650783,0.663505155152328,0.25922,170710.68,7726.81,1533.481,35603.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID","OUT","12:15",387.5,413.1,449.1,20.9,8.99,100.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.491278579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 11:15:00,"2015",2015-06-18 11:15:00,NA,1.48789495151347,0.331752577576164,0.12961,174026.25,8098.75,3483.625,38982.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0194221591759813,-0.0481362942792691,-1.27171057222098,-0.0949020942802478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.026504057779,0.331752577576164,"June","Summer",169
2015-06-18,"PD",885.7,39.4,18.71,204.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326204139624724,0.913583068511383,0.324322,16829.69,1290.04,562.542,6300.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PD","OUT","16:10",63.9,276,293,21.3,8.02,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328035446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 15:10:00,"2015",2015-06-18 15:15:00,NA,0.337835405543272,0.456791534255691,0.162161,18722.7,1361.07,512.478,5782.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.112480384368339,-0.0550603082074974,0.0889960216303851,0.0820961974041971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6999978367956,0.456791534255691,"June","Summer",169
2015-06-18,"SMD",576,20.7,6.94,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354655243007351,0.273835683608893,0.060809,64454.4,2316.33,776.586,8661.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMD_OUT","OUT","15:30",113.8,525,571,20.7,8.63,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363486975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 14:30:00,"2015",2015-06-18 14:30:00,NA,0.360677092531158,0.273835683608893,0.060809,64979.8,2355.66,982.094,10958.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00815149935458237,-0.0169794459338695,-0.264630060289524,-0.265311636220047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.049824698031,0.273835683608893,"June","Summer",169
2015-06-19,"BRDS",1595.1,41,17.1,189.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201570992048188,0.469971495613876,0.123312,5089.63574,151.9337,62.76962,695.43838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRDS_OUT","OUT","15:24",8.32,617,616,25.1,11.9,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033076625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 14:24:00,"2015",2015-06-19 14:30:00,NA,0.0226282571962237,0.234985747806938,0.061656,5125.12,208.832,99.008,1189.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00697186632063382,-0.374494269539938,-0.577323552380913,-0.710805779801799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5739703993141,0.234985747806938,"June","Summer",170
2015-06-19,"LH",464.4,18.3,8.7,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00288798299977462,0.234985747806938,0.003607,493.1273196,19.4320197,9.2381733,98.3281434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LH_OUT","OUT","14:15",1.113657,404.9,432.7,21.7,8.8,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003421177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 13:15:00,"2015",2015-06-19 13:15:00,NA,0.00302886021927582,0.234985747806938,0.003607,481.8793839,24.1663569,9.8001816,115.820328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0228093947606144,-0.24363587898174,-0.0608354359405664,-0.177896012221461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4813240574113,0.234985747806938,"June","Summer",170
2015-06-19,"LMPD",194.3,22.2,8.9,102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30324459937065,0.238965053874415,0.19456,91554.16,10460.64,4193.68,48298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LMPD","OUT","16:25",475.3,179.5,187.5,22.8,9,103.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.179749456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 15:25:00,"2015",2015-06-19 15:30:00,NA,1.31458437623275,0.238965053874415,0.19456,89118.75,10836.84,4277.7,49383.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0266007574096033,-0.0359633827375764,-0.020034909673604,-0.0224785705412234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.07942479891,0.238965053874415,"June","Summer",170
2015-06-19,"MCLN",546.6,67.2,27.2,313.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49007719474238,0.716895179046402,1.579644,102555.6423498,12457.93698,5066.1603678,58913.4990297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCLN_OUT","OUT","17:33",549.0588,182.4,185.6,23.5,8.9,104.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36282731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 16:33:00,"2015",2015-06-19 16:30:00,NA,1.51858640882201,0.238965053874415,0.526548,101905.31328,12902.8818,4886.62332,57321.73872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0063412315002799,-0.0357157706540271,0.0354384849206746,0.0270186007607109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9511402352889,0.238965053874415,"June","Summer",170
2015-06-19,"OMPD",2085.1,60.8,23.4,259.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127599518445402,0.704957227092394,0.274575,15211.8314131,951.9791899,398.9870038,4437.1860781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OMPD","OUT","15:33",50.59,303.6,304.2,24.9,7.8,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20112337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 14:33:00,"2015",2015-06-19 14:30:00,NA,0.137591770619826,0.234985747806938,0.091525,15389.478,1259.691,394.602,4370.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0116781853595233,-0.32323375696093,0.0109903424378155,0.0149216365810719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4088399701376,0.234985747806938,"June","Summer",170
2015-06-24,"BRDS",742.8,39.9,18.13,199.8,NA,9.714285714,NA,29.771,65.97610092,156.1225,0.4477,3.955,0.0229,13.91146167,1.176711357,0.513676101,0.663035257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0870572390905794,2.02977722358153,0.123312,2433.10292,145.82474,67.004986,734.18122,38.73125714214,NA,100.0525274,232.542473580942,518.27855298,1.6534221,13.70402716,0.08067558,53.1019941279242,4.4312717090582,2.5453071378582,1.88596457371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3079117938975,NA,101542.170639143,236004.708194952,525.995001154797,1.67803925977317,13.9080611003553,0.0818767273916146,53.8926091038102,4.49724719327376,2.58320322772203,1.9140439680991,NA,NA,NA,NA,NA,NA,"BRDS_OUT","OUT","11:35",8.32,291,316.3,20.8,6.97,78.1,NA,5.142857143,0.006167143,136980,6.957,23.32119942,68.0869,0.0861,1.7065,0.0128,7.754183924,0.430810215,0.109421199,0.321389016,NA,0.105243805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-24 10:35:00,"2015",2015-06-24 10:30:00,NA,0.0977300144687401,1.01488861179076,0.061656,2631.616,173.056,57.9904,649.792,42.78857142976,0.05131062976,57.88224,194.0323791744,566.483008,0.716352,14.19808,0.106496,64.51481024768,3.5843409888,2.67395661312,0.91038437568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.425633858859,0.0520745738072362,58744.0262009397,196921.251942766,574.917153592175,0.727017486833536,14.4094697012942,0.108081577601269,65.4753462122124,3.63770685030796,2.71376811507809,0.923938735229875,NA,NA,NA,NA,NA,NA,-0.081588443451459,-0.186739643766894,0.134536047809935,0.114943310590265,-0.104755553705113,NA,0.421481480736687,0.165604561667904,-0.0930087782773067,0.566745841851273,-0.0360516535928991,-0.320052486762413,-0.214922552480082,0.191125883462967,-0.0505437922788582,0.517284476935256,-0.236286313970854,0.0481120279329029,-1.07161351193149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-4.11772206496149,NA,42798.1444382035,39083.4562521866,-48.922152437378,0.951021772939631,-0.501408600938881,-0.0262048502096544,-11.5827371084022,0.859540342965795,-0.130564887356058,0.990105232869224,NA,NA,NA,NA,NA,NA,49.9872475717884,1.01488861179076,"June","Summer",175
2015-06-24,"LH",372.5,16.9,9.34,96.8,NA,3.714285714,NA,12.808,26.87000084,76.8915,0.3388,2.3105,0.0164,4.913456351,0.555733067,0.365670001,0.190063067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124730162780964,1.01488861179076,0.003607,395.5424775,17.9454171,9.91776306,102.7879512,3.94404771398233,NA,13.600290072,28.5321522219616,81.6479312985,0.3597578292,2.4534252195,0.0174144876,5.21739784741651,0.590110158791553,0.201820178261553,0.388289981591859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00276910928005,NA,13802.7795111238,28956.9563599493,82.8635556511222,0.365114123857646,2.4899533151508,0.0176737651454115,5.29507765852465,0.598896079859586,0.204825000547232,0.394071080390023,NA,NA,NA,NA,NA,NA,"LH_OUT","OUT","9:40",1.113657,218.1,243.6,19.5,7.41,81.8,NA,6.714285714,0.005756,136981,11.018,34.01449966,44.4831,0.0813,1.4308,0.006,7.162652274,0.379309986,0.1153145,0.263995487,NA,0.015093428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-24 08:40:00,"2015",2015-06-24 08:45:00,NA,0.0130814560965401,1.01488861179076,0.003607,271.2868452,21.7163115,8.25219837,91.0971426,7.4774112853961,0.006410209692,12.270272826,37.8804856478566,49.5389156967,0.0905403141,1.5934204356,0.006681942,7.97673784350602,0.422421221078802,0.294000422065959,0.1284208001265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.58873955922423,0.00650564881560157,12452.9601546731,38444.4734931131,50.2764813810435,0.0918883336880486,1.61714425388512,0.00678142684044639,8.09550039661466,0.428710486651624,0.298377680216419,0.130332807565443,NA,NA,NA,NA,NA,NA,0.314139793746931,-0.210131332082551,0.167937535906409,0.113737149768192,-0.895872420327825,NA,0.0977932999192579,-0.327642070362274,0.393261838862902,0.748329829815417,0.350532299523385,0.616299821534801,-0.528872835997325,0.284165482011274,-0.456744437540547,0.669265738971638,-0.396970912788184,0.313537794118286,-2.02357547382805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.58597044994417,NA,1349.81935645072,-9487.51713316381,32.5870742700787,0.273225790169598,0.872809061265687,0.0108923383049651,-2.80042273809001,0.170185593207962,-0.0935526796691876,0.26373827282458,NA,NA,NA,NA,NA,NA,114.371167025364,1.01488861179076,"June","Summer",175
