"Date","Discharge.m3s","Year"
2001-06-21,0.283168199078571,2001
2001-06-22,0.237861287225999,2001
2001-06-23,0.226534559262857,2001
2001-06-24,0.243524651207571,2001
2001-06-25,0.271841471115428,2001
2001-06-26,0.220871195281285,2001
2001-06-27,0.158574191484,2001
2001-06-28,0.116098961622214,2001
2001-06-29,0.0934455056959283,2001
2001-06-30,0.0877821417143569,2001
2001-07-01,0.0821187777327855,2001
2001-07-02,0.0849504597235712,2001
2001-07-03,0.0736237317604284,2001
2001-07-04,0.0651286857880713,2001
2001-07-05,0.067960367778857,2001
2001-07-06,0.0594653218064998,2001
2001-07-07,0.048138593843357,2001
2001-07-08,0.048138593843357,2001
2001-07-09,0.0453069118525713,2001
2001-07-10,0.0821187777327855,2001
2001-07-11,0.107603915649857,2001
2001-07-12,0.0821187777327855,2001
2001-07-13,0.067960367778857,2001
2001-07-14,0.0622970037972856,2001
2001-07-15,0.0566336398157141,2001
2001-07-16,0.0453069118525713,2001
2001-07-17,0.0622970037972856,2001
2001-07-18,0.104772233659071,2001
2001-07-19,0.0736237317604284,2001
2001-07-20,0.0509702758341427,2001
2001-07-21,0.0396435478709999,2001
2001-07-22,0.0311485018986428,2001
2001-07-23,0.0283168199078571,2001
2001-07-24,0.0277504835096999,2001
2001-07-25,0.0220871195281285,2001
2001-07-26,0.0566336398157141,2001
2001-07-27,0.0538019578249284,2001
2001-07-28,0.0424752298617856,2001
2001-07-29,0.0271841471115428,2001
2001-07-30,0.0263346425143071,2001
2001-07-31,0.0257683061161499,2001
2001-08-01,0.0249188015189142,2001
2001-08-02,0.0266178107133856,2001
2001-08-03,0.0246356333198356,2001
2001-08-04,0.0311485018986428,2001
2001-08-05,0.0283168199078571,2001
2001-08-06,0.0269009789124642,2001
2001-08-07,0.0232197923244428,2001
2001-08-08,0.0220871195281285,2001
2001-08-09,0.0141584099539285,2001
2001-08-10,0.0116098961622214,2001
2001-08-11,0.0141584099539285,2001
2001-08-12,0.0235029605235214,2001
2001-08-13,0.0218039513290499,2001
2001-08-14,0.0195386057364214,2001
2001-08-15,0.0181227647410285,2001
2001-08-16,0.0152910827502428,2001
2001-08-17,0.0133089053566928,2001
2001-08-18,0.01387524175485,2001
2001-08-19,0.0147247463520857,2001
2001-08-20,0.0150079145511642,2001
2001-08-21,0.0161405873474785,2001
2001-08-22,0.0169900919447142,2001
2001-08-23,0.0158574191484,2001
2001-08-24,0.0130257371576143,2001
2001-08-25,0.0107603915649857,2001
2001-08-26,0.00792870957419998,2001
2001-08-27,0.0096277187686714,2001
2001-08-28,0.0147247463520857,2001
2001-08-29,0.0311485018986428,2001
2001-08-30,0.0164237555465571,2001
2001-08-31,0.01387524175485,2001
2001-09-01,0.0736237317604284,2001
2001-09-02,0.048138593843357,2001
2001-09-03,0.0240692969216785,2001
2001-09-04,0.0396435478709999,2001
2001-09-05,0.0339801838894285,2001
2001-09-06,0.0243524651207571,2001
2001-09-07,0.0181227647410285,2001
2001-09-08,0.0158574191484,2001
2001-09-09,0.01387524175485,2001
2001-09-10,0.0135920735557714,2001
2001-09-11,0.0195386057364214,2001
2001-09-12,0.0184059329401071,2001
2001-09-13,0.0181227647410285,2001
2001-09-14,0.0226534559262857,2001
2001-09-15,0.0201049421345785,2001
2001-09-16,0.0203881103336571,2001
2001-09-17,0.0232197923244428,2001
2001-09-18,0.0260514743152285,2001
2001-09-19,0.0277504835096999,2001
2001-09-20,0.0339801838894285,2001
2001-09-21,0.0792870957419998,2001
2001-09-22,0.0509702758341427,2001
2001-09-23,0.0311485018986428,2001
2001-09-24,0.0184059329401071,2001
2001-09-25,0.0252019697179928,2001
2001-09-26,0.0424752298617856,2001
2001-09-27,0.0274673153106214,2001
2001-09-28,0.0368118658802142,2001
2001-09-29,0.0339801838894285,2001
2001-09-30,0.0257683061161499,2001
2001-10-01,0.0209544467318142,2001
2001-10-02,0.0113267279631428,2001
2001-10-03,0.0107603915649857,2001
2001-10-04,0.0101940551668285,2001
2001-10-05,0.0101940551668285,2001
2001-10-06,0.00906138237051426,2001
2001-10-07,0.0113267279631428,2001
2001-10-08,0.00991088696774997,2001
2001-10-09,0.00849504597235712,2001
2001-10-10,0.00849504597235712,2001
2001-10-11,0.00707920497696427,2001
2001-10-12,0.00594653218064998,2001
2001-10-13,0.00651286857880713,2001
2001-10-14,0.00736237317604284,2001
2001-10-15,0.0169900919447142,2001
2001-10-16,0.0161405873474785,2001
2001-10-17,0.0846672915244926,2001
2001-10-18,0.0577663126120284,2001
2001-10-19,0.0257683061161499,2001
2001-10-20,0.0164237555465571,2001
2001-10-21,0.00991088696774997,2001
