Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm
ID,12/13/2017,13:10,ID,OUT,10,10,1009,0.852917808,20.40146602,31801,0.035319934,0.850635725
ID_UP,12/13/2017,12:45,ID,UP_1,10,10,613,0.518175041,12.39454774,31409,0.034775209,0.83751672
MR,12/13/2017,13:20,ID,UP_2,10,10,832,0.703297935,16.82261619,31522,0.034932234,0.841298474
PD,12/13/2017,9:40,PD,OUT,10,100,1977,15.55260115,372.0122395,32439,0.036206501,0.871987575
PD_UP,12/13/2017,10:05,PD,UP_1,10,10,386,0.326289667,7.804723375,30242,0.033153541,0.798460906
SMD_DOWN,12/13/2017,11:45,SMD,DOWN,10,10,812,0.686391735,16.41822637,35536,0.040510105,0.975634409
SMD_OUT,12/13/2017,11:30,SMD,OUT,10,10,1517,1.282335297,30.67296725,39288,0.0457239,1.10120203
SMD_SIDE,12/13/2017,11:15,SMD,SIDE,10,100,307,2.415097902,57.76821321,97492,0.126604418,3.04910656
SMD_UP,12/13/2017,10:50,SMD,UP,10,10,1524,1.288252467,30.81450369,39534,0.046065742,1.109434875
WB,12/13/2017,9:50,PD,UP_2,10,10,1508,1.274727507,30.49099184,45130,0.053841967,1.296715367
