"Date","Site","Year","Discharge.m3s.OUT","HL.myr","RFlag","Temp.C.OUT","RTSS","RAFDM","RAsh","RPC","RPN"
2015-06-18,"ID",2015,1.48789495151347,362.026504057779,NA,20.9,NA,NA,NA,NA,NA
2015-06-18,"PD",2015,0.337835405543272,65.6999978367956,NA,21.3,NA,NA,NA,NA,NA
2015-06-18,"SMD",2015,0.360677092531158,187.049824698031,NA,20.7,NA,NA,NA,NA,NA
2015-06-19,"BRDS",2015,0.0226282571962237,11.5739703993141,NA,25.1,NA,NA,NA,NA,NA
2015-06-19,"LH",2015,0.00302886021927582,26.4813240574113,NA,21.7,NA,NA,NA,NA,NA
2015-06-19,"LMPD",2015,1.31458437623275,213.07942479891,NA,22.8,NA,NA,NA,NA,NA
2015-06-19,"MCLN",2015,1.51858640882201,90.9511402352889,NA,23.5,NA,NA,NA,NA,NA
2015-06-19,"OMPD",2015,0.137591770619826,47.4088399701376,NA,24.9,NA,NA,NA,NA,NA
2015-06-24,"BRDS",2015,0.0977300144687401,49.9872475717884,0,20.8,-0.104755553705113,NA,NA,NA,NA
2015-06-24,"LH",2015,0.0130814560965401,114.371167025364,1,19.5,-0.895872420327825,NA,NA,NA,NA
2015-06-24,"LMPD",2015,3.70780208681032,600.993249432823,0,22.1,0.178095328074986,NA,NA,NA,NA
2015-06-24,"MCLN",2015,4.283192435139,256.528857073892,0,21.1,-0.00346434117817918,NA,NA,NA,NA
2015-06-24,"OMPD",2015,0.594250172112207,204.755787246441,0,20.3,-0.0271356651686781,NA,NA,NA,NA
2015-06-26,"ID",2015,2.88088999723564,700.962479382943,0,20.8,0.277296221968878,NA,NA,0.151811476335344,0.151470477007701
2015-06-26,"PD",2015,0.39359464723488,76.5436868001503,0,23.1,-0.00946468413247436,NA,NA,0.17945708944928,0.172420716263526
2015-06-26,"SMD",2015,1.30011510098441,674.249368097555,0,22.2,0.378512560931189,0.310389792667257,1,0.191384049438332,0.169634311770057
2015-07-07,"BRDS",2015,0.0872052436797988,44.6040055255958,0,20.5,0.562946089907099,NA,NA,NA,NA
2015-07-07,"LH",2015,0.0116726839015281,102.05427211494,0,19.4,0.449390243847378,NA,NA,NA,NA
2015-07-07,"LMPD",2015,3.23028212108474,523.592603672536,0,22.6,0.383571495944162,NA,NA,NA,NA
2015-07-07,"MCLN",2015,3.73156916697716,223.491049723466,0,21.9,-1.04168562895217,NA,NA,NA,NA
2015-07-07,"OMPD",2015,0.530253999730892,182.705164004517,0,21.4,-0.187056996890932,NA,NA,NA,NA
2015-07-10,"ID",2015,2.7385401385487,666.326686284021,0,22.8,0.259286162046178,NA,NA,0.219639997157781,0.216938876017182
2015-07-10,"PD",2015,0.5739921938842,111.626209916886,0,22.1,0.794150414266656,NA,NA,0.128910614196157,0.167407020698253
2015-07-10,"SMD",2015,1.06805154532482,553.899480888744,0,22.8,0.288114387810697,0.151698586931186,0.505285945632709,0.201989830368967,0.0573407281505995
2015-07-22,"BRDS",2015,0.0242069728145649,12.381456706243,0,24.2,-0.928305620217079,NA,NA,NA,NA
2015-07-22,"LH",2015,0.00324017604852763,28.3288582939748,1,22.8,0.0791195716835218,NA,NA,NA,NA
2015-07-22,"LMPD",2015,0.671336892990656,108.81620198064,1,26.2,-1.44970288624788,NA,NA,NA,NA
