"Site","MAQ.m3s","SA.km2","CA.km2","HL.myr","RDIN","RDON","RTDN","RDIN2","RDIN3"
"MCLN",9.43,0.527,549.1,564.296925996205,-4.0589663084444,-5.81101051072792,3.55081913726205,0.040589663084444,19199.3668213283
"LMPD",8.16,0.195,475.3,1319.66030769231,-16.6708018943307,-2.85864812196437,7.12702618684186,0.166708018943307,45019.9532978462
"ID",6.57,0.13,387.5,1593.78092307692,-19.4726317293884,-2.20275493588471,7.92151193315696,0.194726317293884,54390.2182935385
"SMD",1.88,0.061,113.8,971.929180327869,-12.1304069512186,-3.92152998153901,5.83955361452217,0.121304069512186,33133.4601711475
"PD",1.25,0.162,63.9,243.333333333333,8.4281576699903,-8.7341785877852,0.00997526116288583,-0.084281576699903,8227.86833333333
"OMPD",0.92,0.092,50.6,315.36,4.57902212213759,-7.83311680789248,1.10143459610883,-0.0457902212213759,10689.95588
"BRDS",0.15,0.062,8.3,76.2967741935484,25.6457941362125,-12.7647340117049,-4.87225084211046,-0.256457941362125,2518.05763225806
"LH",0.02,0.004,1.1,157.68,14.8690202704383,-10.2419496305696,-1.81639315921788,-0.148690202704383,5299.98044
