Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,pH,TSS.mgL,Chl.mgL,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,TDP.mgL,Q_est.m3s,CH4.mM,CH4.uatm,N2O.mM,N2O.uatm,Gas_Flag,AFDM.pct,AFDM.mgL,Ash.pct,Ash.mgL,PC.mgL,PN.mgL,TN.mgL,NAr_sat,NAr_calc.A,NAr_calc.B,NAr_calc.C,NArcalc.mean
SMD_OUT,SMD,OUT,5/8/18,12:05,113.8,NA,541,18,6.89,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.520696736,36.74883264,0.03289687,0.794978731,NA,NA,NA,NA,NA,NA,NA,NA,26.91887336,27.23692249,27.1838503,27.24096175,27.22057818
SMD_BD,SMD,OUT,5/8/18,12:05,NA,NA,540,18.1,9.62,101.4,"6,951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,5/8/18,12:30,NA,NA,541,17.5,9.78,102.4,6.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.351823321,32.66787377,0.027575193,0.666376217,NA,NA,NA,NA,NA,NA,NA,NA,26.89398027,27.06140195,27.08136776,27.13477992,27.09251654
ID_UP,ID,UP_1,5/8/18,13:20,337.8,NA,426.1,18.4,8.69,92.6,6.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734264949,17.74409,0.024402435,0.589704032,NA,NA,NA,NA,NA,NA,NA,NA,26.9389096,27.12415453,27.10866014,27.15034058,27.12771842
ID,ID,OUT,5/8/18,13:45,387.5,NA,424.8,18.5,8.5,90.7,7.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.004044409,24.26352282,0.024758925,0.598318884,NA,NA,NA,NA,NA,NA,NA,NA,26.94393571,27.07928187,27.10017251,27.07856736,27.08600725
MR,ID,UP_2,5/8/18,13:55,43.3,NA,382.3,18.9,6.47,69.6,6.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.239798383,29.96070303,0.019571287,0.472955555,NA,NA,NA,NA,NA,NA,NA,NA,26.96410885,26.94617592,26.94868439,26.95181143,26.94889058
CCBP_OUT,CCBP,OUT,6/5/18,8:05,1.72665,NA,408.2,16.3,4.13,42.1,6.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693786056,16.7374207,0.019682313,0.474831041,NA,NA,NA,NA,NA,NA,NA,NA,26.83491501,27.3465933,27.23034213,27.24063331,27.27252291
CCBP_SIDE,CCBP,SIDE,6/5/18,8:25,NA,NA,413.4,15.7,0.88,8.9,6.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.720863508,65.64017368,0.016579628,0.399979502,NA,NA,NA,NA,NA,NA,NA,NA,26.80573461,27.14703311,27.18062062,27.20037612,27.17600995
CCBP_UP_3,CCBP,UP_3,6/5/18,8:45,0.078275,NA,445.6,13.8,2.05,19.9,6.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.97300495,1615.707537,0.022193115,0.535403531,NA,NA,NA,NA,NA,NA,NA,NA,26.71483162,26.94560598,26.94053242,26.98280636,26.95631492
CCBP_UP_2,CCBP,UP_2,6/5/18,8:55,0.554225,NA,847,13.4,1.75,16.7,6.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397205106,9.582477049,0.016353872,0.394533214,NA,NA,NA,NA,NA,NA,NA,NA,26.71956024,27.16141829,27.19474939,27.1872298,27.18113249
CCBP_UP_1,CCBP,UP_1,6/5/18,9:10,0.91245,NA,218.1,13.5,2.32,22.3,6.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.099804348,74.78202974,0.018165702,0.438243161,NA,NA,NA,NA,NA,NA,NA,NA,26.70068223,27.59058823,27.60412638,27.65129238,27.61533566
CC,CCBP,DOWN,6/5/18,9:25,4.63,NA,299,13.4,3.55,34.1,6.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715037468,17.25010587,0.024765421,0.597459786,NA,NA,NA,NA,NA,NA,NA,NA,26.71483162,27.19996108,26.97777272,27.03569402,27.07114261
PD,PD,OUT,6/5/18,9:50,63.9,NA,341.4,17.5,4.41,46.1,7.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.098416353,26.49902871,0.030750102,0.741838769,NA,NA,NA,NA,NA,NA,NA,NA,26.89398027,27.50892719,27.4930813,27.6193125,27.54044033
WB,PD,UP_2,6/5/18,10:25,6,NA,614,12.8,9.16,86.8,7.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.290714446,55.26293167,0.043207153,1.042362113,NA,NA,NA,NA,NA,NA,NA,NA,26.66787769,28.33984505,28.27261816,27.28900935,27.96715752
PD_UP,PD,UP_1,6/5/18,10:45,55.7,NA,283,17.1,8.11,84.1,7.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533760363,12.87683959,0.034205892,0.82520886,NA,NA,NA,NA,NA,NA,NA,NA,26.87418627,27.26702103,27.00781117,27.00758068,27.09413763
IP04_UP,IP,UP,6/5/18,11:25,NA,NA,653,16,5.53,56,6.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931136163,22.46343459,0.042360571,1.021938535,NA,NA,NA,NA,NA,NA,NA,NA,26.82029583,27.60279973,27.52753122,27.77428181,27.63487092
IP04,IP,OUT,6/5/18,11:40,104.443153,NA,548,16.1,5.67,57.5,6.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300688829,31.37880323,0.041430055,0.999490056,NA,NA,NA,NA,NA,NA,NA,NA,26.82516243,27.4363506,27.28864407,27.56812476,27.43103981
SMD_UP,SMD,UP,6/5/18,12:25,111.9,NA,608,16.4,5.21,53.3,7.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.536246648,37.06157862,0.040514734,0.977408153,NA,NA,NA,NA,NA,NA,NA,NA,26.83980103,27.47661022,27.5729532,27.67453685,27.57470009
SMD_SIDE,SMD,SIDE,6/5/18,13:00,NA,NA,612,18.5,2.77,29.2,6.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.698940541,89.2360454,0.201274802,4.855705887,NA,NA,NA,NA,NA,NA,NA,NA,26.94393571,27.94014053,27.65065762,27.57897787,27.72325867
SMD_OUT,SMD,OUT,6/5/18,13:20,113.8,NA,610,17,4.87,50.5,6.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.643783914,39.65588912,0.041891695,1.010627015,NA,NA,NA,NA,NA,NA,NA,NA,26.86925436,27.59981585,27.39242009,27.42304034,27.47175876
SMD_BD,SMD,OUT,6/5/18,13:20,NA,NA,614,17,7.84,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,6/5/18,14:00,NA,NA,610,16.8,8.28,85.3,7.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488099699,11.77528712,0.032252242,0.778077528,NA,NA,NA,NA,NA,NA,NA,NA,26.85941034,27.3951956,27.46652515,27.11987672,27.32719916
ID_UP,ID,UP_1,6/5/18,15:05,337.8,NA,483,17.6,8.33,87.3,7.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735606103,17.74631923,0.02779792,0.670618089,NA,NA,NA,NA,NA,NA,NA,NA,26.89894545,27.18025765,27.17897843,27.16604731,27.17509446
ID,ID,OUT,6/5/18,15:30,387.5,NA,483,17.6,6.73,70.4,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.330827553,56.23065067,0.027637286,0.666742846,NA,NA,NA,NA,NA,NA,NA,NA,26.89894545,27.17311196,27.2010609,27.22777982,27.20065089
MR,ID,UP_2,6/5/18,16:00,43.3,NA,404.6,16.6,5.3,54.4,6.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.177789097,28.41387694,0.020294457,0.489598858,NA,NA,NA,NA,NA,NA,NA,NA,26.84959261,27.49137444,27.70239369,27.5059234,27.56656384
CCBP_OUT,CCBP,Out,7/11/18,9:10,1.72665,NA,403.9,23.3,2.39,27.9,6.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959271182,23.18154258,0.017726234,0.428368394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,Side,7/11/18,9:25,NA,NA,402.8,23.1,1.8,21,6.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.67238184,523.7301525,0.015665185,0.378561512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,Up,7/11/18,9:55,0.554225,NA,1112,20.9,1.15,12.8,6.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.455131072,204.3248923,0.022180715,0.536014417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,Up,7/11/18,10:05,0.91245,NA,370.6,22.2,1.78,20.5,6.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.43192788,1073.732483,0.013891063,0.335688463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,Down,7/11/18,10:25,4.63,NA,299.9,20.3,4.81,53.1,7.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.883394805,45.51371676,0.040274201,0.973257735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,Out,7/11/18,10:50,63.9,NA,348.7,24.3,3.85,46,7.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.722230389,41.61905188,0.037753641,0.912346425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,Up,7/11/18,11:05,6,NA,744,19.3,7.14,77.3,7.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22629782,53.80023779,0.040641383,0.98213098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,Up,7/11/18,11:20,55.7,NA,284.5,23.3,7,82.1,7.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.392186238,33.64327539,0.031083994,0.75116916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IP04_UP,IP,UP,7/11/18,12:00,NA,NA,668,24.6,3.25,39,6.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02270824,24.71454898,0.045684633,1.104005089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IP04,IP,Out,7/11/18,12:15,104.443153,NA,622,24.9,2.13,25.6,6.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.022270526,48.86975778,0.051806703,1.251949719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,Up,7/11/18,12:30,111.9,NA,647,24.6,2.69,32.3,6.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201875065,29.04425621,0.046524109,1.124291696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,Side,7/11/18,13:05,NA,NA,641,27.5,0.49,6.2,6.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.406285563,154.8129292,0.049107879,1.186730508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,Out,7/11/18,13:30,113.8,NA,642,25.5,2.53,31,7.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.048425966,25.33603805,0.050924613,1.230633335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,Down,7/11/18,14:10,NA,NA,644,25.7,6.76,83.1,7.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331758666,8.017209098,0.030393663,0.734486772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,Up,7/11/18,15:05,337.8,NA,496,26,6.36,78.4,7.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888118807,21.46208947,0.023950575,0.578784489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,Out,7/11/18,15:30,387.5,NA,482,25.8,4.58,56.8,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012840693,48.64187845,0.024711928,0.597183171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,Up,7/11/18,15:40,43.3,NA,438.7,25,1.4,17,6.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.91074659,626.1535702,0.016865451,0.407566898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_OUT,CCBP,Out,8/7/18,8:05,1.72665,NA,271.5,25.1,2.13,25.8,6.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.060133455,195.1101594,0.022228708,0.538086229,NA,NA,NA,NA,NA,NA,NA,NA,27.2916345,27.62674934,27.58236292,27.61034497,27.60648574
CCBP_SIDE,CCBP,Side,8/7/18,8:25,NA,NA,434,25.2,0.83,10,6.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.689529841,89.3117663,0.020199282,0.488960282,NA,NA,NA,NA,NA,NA,NA,NA,27.29715804,27.73981512,27.75978635,27.79407819,27.76455989
CCBP_UP_1,CCBP,Up,8/7/18,8:55,0.91245,NA,285.6,23.3,1.2,14.1,6.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.93542561,1983.39569,0.018402717,0.445471155,NA,NA,NA,NA,NA,NA,NA,NA,27.19356312,27.40159588,27.4636093,27.46116938,27.44212485
CC,CCBP,Down,8/7/18,9:15,4.63,NA,302.6,22.1,2.91,33.3,7.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853942855,44.87805172,0.033963125,0.822139088,NA,NA,NA,NA,NA,NA,NA,NA,27.1295722,27.52549514,27.52344858,27.55707063,27.53533812
PD,PD,Out,8/7/18,9:55,63.9,NA,485,23.9,2.94,35.7,6.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319559007,7.735505765,0.062771546,1.519499202,NA,NA,NA,NA,NA,NA,NA,NA,27.20973258,28.01405412,28.02410618,28.03865536,28.02560522
WB,PD,Up,8/7/18,10:10,6,NA,727,19.9,6.46,70.9,6.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.439267068,34.84007166,0.100326986,2.428596784,NA,NA,NA,NA,NA,NA,NA,NA,27.01502856,27.74772494,27.78625874,27.76965768,27.76788045
PD_UP,PD,Up,8/7/18,10:30,55.7,NA,319.8,25.2,5.25,63.8,7.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.167661358,52.47217749,0.057263945,1.386177733,NA,NA,NA,NA,NA,NA,NA,NA,27.29715804,27.59364823,27.57826448,27.57800401,27.58330557
IP04_UP,IP,UP,8/7/18,11:15,NA,NA,672,25.8,3.16,38.9,6.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.072984029,25.97352588,0.069229749,1.675831735,NA,NA,NA,NA,NA,NA,NA,NA,27.33046862,27.72571778,27.73398907,27.72758892,27.72909859
IP04,IP,Out,8/7/18,11:35,104.443153,NA,694,26.7,3.25,40.6,6.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414631244,58.45053181,0.082009092,1.985178926,NA,NA,NA,NA,NA,NA,NA,NA,27.38098535,27.69899966,27.70718833,27.71210654,27.70609818
SMD_UP,SMD,Up,8/7/18,12:00,111.9,NA,670,26.3,2.27,28.2,6.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987879541,23.9134173,0.061042775,1.477651173,NA,NA,NA,NA,NA,NA,NA,NA,27.35845118,27.79137355,27.80827233,27.85231513,27.81732034
SMD_SIDE,SMD,Side,8/7/18,12:30,NA,NA,648,NA,3.34,45.1,6.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.537162837,230.8643364,0.04982419,1.206084939,NA,NA,NA,NA,NA,NA,NA,NA,27.45514603,27.83060659,27.26693144,27.31965931,27.47239911
SMD_OUT,SMD,Out,8/7/18,12:45,113.8,NA,636,27.3,2.76,34.9,6.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824345428,19.95477727,0.060146703,1.455960123,NA,NA,NA,NA,NA,NA,NA,NA,27.41503631,27.76203116,27.78643031,28.26689221,27.93845123
SMD_DOWN,SMD,Down,8/7/18,13:05,NA,NA,641,28.2,6.55,83.9,7.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272834975,6.604465758,0.036024975,0.872049908,NA,NA,NA,NA,NA,NA,NA,NA,27.46668269,27.62235652,27.6094165,27.68292266,27.63823189
ID_UP,ID,Up,8/7/18,14:05,337.8,NA,538,28.1,7.08,90.6,7.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.135560858,27.48831161,0.03281798,0.794418782,NA,NA,NA,NA,NA,NA,NA,NA,27.46091007,26.2809035,27.46159073,27.55919987,27.1005647
ID,ID,Out,8/7/18,14:30,387.5,NA,539,29,6.16,80.4,7.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.131389069,27.38732589,0.034010287,0.823280722,NA,NA,NA,NA,NA,NA,NA,NA,27.51317474,27.55037713,27.55466961,27.53996505,27.54833726
MR,ID,Up,8/7/18,14:50,43.3,NA,578,26.8,1.42,17.9,6.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.09361746,607.4365555,0.020582471,0.49823606,NA,NA,NA,NA,NA,NA,NA,NA,27.38663962,27.9207529,27.93787695,27.90737905,27.92200297
CCBP_OUT,CCBP,Out,9/5/18,8:05,1.72665,NA,385.3,22.7,2.28,26.4,6.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546270076,13.26828396,0.016387567,0.398035529,NA,NA,NA,NA,NA,NA,NA,NA,27.16143124,27.16958987,27.10473969,27.16059582,27.14497513
CCBP_SIDE,CCBP,Side,9/5/18,8:30,NA,NA,400,22.5,0.89,10.3,6.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806066606,43.86732062,0.015546903,0.377616735,NA,NA,NA,NA,NA,NA,NA,NA,27.15078143,27.16603921,27.16913441,27.1166136,27.15059574
CCBP_UP_1,CCBP,Up,9/5/18,9:00,0.91245,NA,332.4,20.9,0.84,9.4,6.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.6363707,2760.099263,0.012000349,0.291474952,NA,NA,NA,NA,NA,NA,NA,NA,27.06665737,27.11150428,27.13103509,27.14208935,27.12820957
CC,CCBP,Down,9/5/18,9:20,4.63,NA,278.9,19.7,4.75,51.9,7.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.688516943,41.01217191,0.028733282,0.697899019,NA,NA,NA,NA,NA,NA,NA,NA,27.00478844,27.17161464,27.16519563,27.15624944,27.16435324
PD,PD,Out,9/5/18,10:00,63.9,NA,378.9,23.4,3.47,40.7,6.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415202202,10.08479314,0.040434591,0.982110604,NA,NA,NA,NA,NA,NA,NA,NA,27.19894523,27.1916913,27.19377189,27.19814397,27.19453572
WB,PD,Up,9/5/18,10:15,6,NA,706,18.7,5.29,55.9,7.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.716225078,41.68517125,0.081666559,1.983588601,NA,NA,NA,NA,NA,NA,NA,NA,26.95400851,26.8230093,26.82256585,26.82250604,26.82269373
PD_UP,PD,Up,9/5/18,10:40,55.7,NA,328.1,23.1,4.96,57.9,7.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.946286561,47.27310516,0.063069174,1.531879104,NA,NA,NA,NA,NA,NA,NA,NA,27.18282194,27.11233013,27.11944828,27.1195679,27.11711544
IP04_UP,IP,UP,9/5/18,11:20,NA,NA,685,24.1,3.99,47.5,6.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665582984,16.16625991,0.057408597,1.394390061,NA,NA,NA,NA,NA,NA,NA,NA,27.23683671,27.13887453,27.14476098,27.14783934,27.14382495
IP04,IP,Out,9/5/18,11:45,104.443153,NA,683,23.7,3.84,45.4,6.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.221676854,29.67315272,0.065299099,1.586041454,NA,NA,NA,NA,NA,NA,NA,NA,27.21513785,27.15042945,27.14926332,27.14945472,27.14971583
SMD_UP,SMD,Up,9/5/18,12:35,111.9,NA,661,24.1,2.46,29.2,6.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641737195,15.5870726,0.051480676,1.250407541,NA,NA,NA,NA,NA,NA,NA,NA,27.23683671,27.15998883,27.16323378,27.17134526,27.16485596
SMD_SIDE,SMD,Side,9/5/18,13:05,NA,NA,665,31.1,2.18,27.3,6.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.500461033,85.02224997,0.040321009,0.979351815,NA,NA,NA,NA,NA,NA,NA,NA,27.63790746,27.41362495,27.42744049,27.42053883,27.42053476
SMD_OUT,SMD,Out,9/5/18,13:35,113.8,NA,635,23.6,2.14,25.3,6.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779270301,18.92759659,0.051336959,1.246916828,NA,NA,NA,NA,NA,NA,NA,NA,27.20973258,27.1936372,27.17262924,27.18773746,27.18466797
SMD_BD,SMD,OUT,9/5/18,13:40,NA,NA,639,25.1,6.21,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,Down,9/5/18,14:15,NA,NA,643,26.1,6.87,84.8,7.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228634094,5.553264252,0.033089594,0.803708905,NA,NA,NA,NA,NA,NA,NA,NA,27.2916345,27.43563665,27.44526164,27.45567868,27.44552566
ID_UP,ID,Up,9/5/18,15:30,337.8,NA,528,26,6.94,85.6,7.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828725123,20.12879845,0.028329949,0.688102503,NA,NA,NA,NA,NA,NA,NA,NA,27.34163709,27.47733623,27.4868548,27.481211,27.48180068
ID,ID,Out,9/5/18,16:00,387.5,NA,524,27.1,5.98,75,7.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.203204764,29.2244865,0.027738084,0.673726771,NA,NA,NA,NA,NA,NA,NA,NA,27.4036525,27.43594544,27.43677064,27.45259945,27.44177184
MR,ID,Up,9/5/18,16:15,43.3,NA,525,24.5,1.75,21,6.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.576005123,38.27938671,0.013878709,0.337098193,NA,NA,NA,NA,NA,NA,NA,NA,27.25866084,27.18650754,27.23724725,27.24937991,27.22437823
CCBP_OUT,CCBP,OUT,10/17/18,7:30,1.72665,NA,385.5,8.7,7.78,67.1,6.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994896943,24.1649245,0.012374363,0.300559313,NA,NA,NA,NA,NA,NA,NA,NA,26.48140045,26.67045982,26.87533157,26.72715293,26.75764811
CCBP_SIDE,CCBP,SIDE,10/17/18,8:05,NA,NA,508,9.1,2.76,24,6.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.767316931,42.92613473,0.011925495,0.289656828,NA,NA,NA,NA,NA,NA,NA,NA,26.49918407,26.86793557,26.88601225,26.8617308,26.87189287
CCBP_UP_3,CCBP,UP_3,10/17/18,8:25,0.078275,NA,512,9.1,2.59,22.5,6.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.542665382,61.75847401,0.012700934,0.30849136,NA,NA,NA,NA,NA,NA,NA,NA,26.49918407,26.87597507,26.86716943,26.94419228,26.89577893
CCBP_UP_2,CCBP,UP_2,10/17/18,8:55,0.554225,NA,656,9.2,2.92,25.5,6.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.310174665,201.8447687,0.011795136,0.286490538,NA,NA,NA,NA,NA,NA,NA,NA,26.50364335,26.86321773,26.8051301,26.76912293,26.81249025
CCBP_UP_1,CCBP,UP_1,10/17/18,9:10,0.91245,NA,745,9.8,4.15,36.6,6.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.651205473,88.68366238,0.01414161,0.343483766,NA,NA,NA,NA,NA,NA,NA,NA,26.5305125,26.79479386,26.78590421,26.77997498,26.78689102
CC,CCBP,DOWN,10/17/18,9:20,4.63,NA,410,8.4,3.24,27.6,6.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811665923,19.71444971,0.019835777,0.48178864,NA,NA,NA,NA,NA,NA,NA,NA,26.46811848,26.83210146,26.97892758,26.85710873,26.88937926
PD,PD,OUT,10/17/18,9:55,63.9,NA,270.4,11.3,7.65,69.8,7.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12155049,27.2411963,0.018697481,0.454140722,NA,NA,NA,NA,NA,NA,NA,NA,26.598554,27.24689211,26.69659111,26.67575732,26.87308018
WB,PD,UP_2,10/17/18,10:15,6,NA,667,8.3,8.81,75.1,7.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.370691349,33.29254674,0.039143798,0.950758693,NA,NA,NA,NA,NA,NA,NA,NA,26.46370169,26.67532048,26.64184865,26.64416725,26.65377879
