Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,pH,TSS.mgL,Chl.mgL,UNH_ID,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,TDP.mgL,Q_est.m3s,CH4.mM,CH4.uatm,N2O.mM,N2O.uatm,CO2.ppm,Gas_Flag,AFDM.pct,AFDM.mgL,Ash.pct,Ash.mgL,PC.mgL,PN.mgL,TN.mgL,NAr_sat,NAr_calc.A,NAr_calc.B,NAr_calc.C,NArcalc.mean,N2.mM.A,N2.mM.B,N2.mM.C,N2.mM.mean,Notes
CLGB,OMPD,UP_2,11/2/2015,13:45,2.006,937,1286,10.9,8.89,81.1,NA,2,341.523,142435,14.24382442,18.02409935,341.5231,0.9146,9.0048,NA,3.964496649,1.182830747,0.932624099,0.250206648,NA,0.010331205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD_IN,OMPD,UP_1,11/2/2015,14:00,43.173633,177.6,258.9,8.6,10.38,89.2,NA,3.666666667,51.432,142436,9.466164667,2.5,51.4317,0.1013,3.5528,NA,9.075755523,0.40004549,0.1038,0.29624549,NA,0.222350767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAM,OMPD,UP_3,11/2/2015,14:05,1.7364,271.2,384.6,9.6,7.86,69,NA,3,69.269,142437,12.91122836,27.54750061,69.2687,0.3277,7.5727,NA,6.891606468,0.680980515,0.355247501,0.325733014,NA,0.008942724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_OUT,MCLN,OUT,11/2/2015,14:15,549.0588,107,152.6,9.4,10.12,88.4,NA,2.833333333,29.668,142438,12.25250189,2.5,29.6678,0.0387,2.4296,NA,6.972320792,0.418520197,0.0412,0.377320197,NA,3.569309621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piscassic,MCLN,UP_2,11/2/2015,14:30,56.9778,187.2,269.9,9.2,7.86,68.4,NA,2.142857143,47.27,142439,5.960528426,6.045899868,47.2699,0.0154,8.1187,NA,9.354852041,0.31663357,0.0214459,0.29518767,NA,0.370400055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sidetrib_IN,MCLN,UP_3,11/2/2015,14:40,1.735233,98.3,145.5,8,4.76,40.4,NA,12,13.55,142440,15.60670676,10.5866003,13.5497,0.0209,3.3088,NA,4.404049353,0.23960967,0.0314866,0.208123069,NA,0.011280365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_IN,MCLN,UP_1,11/2/2015,14:45,480.037965,132.1,189.2,9.2,11.16,97.2,NA,1.166666667,43.408,142441,6.274748521,2.5,43.4078,0.0689,2.6213,NA,5.747991469,0.285198995,0.0714,0.213798995,NA,3.120620464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD,LMPD,OUT,11/2/2015,15:00,475.3,131.7,190.4,8.8,10.05,87.3,NA,1.714285714,39.104,142442,6.464037735,2.5,39.1042,0.055,2.4258,NA,5.593370053,0.266172805,0.0575,0.208672805,NA,3.089820003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD_IN,LMPD,UP,11/2/2015,15:15,471.2,128.8,183.5,9.3,10.41,92.9,NA,1.276595745,33.849,142443,7.156836258,2.5,33.849,0.0574,2.0476,NA,5.369703855,0.288002371,0.0599,0.228102371,NA,3.063166811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_OUT,CCBP,OUT,11/18/2015,10:15,1.72665,313.4,522,4.1,7,53.5,NA,19,NA,143395,22.29304911,177.6089935,143.1668,0.0288,1.5636,0.0319,7.720474867,0.543064785,0.206408994,0.336655792,29.05,NA,1.890638374,45.92147346,0.035227453,0.858525763,NA,NA,53.34068705,10.13473054,46.65931295,8.865269461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,SIDE,11/18/2015,10:30,3.962682,338.8,562,5.2,5.19,39.9,NA,NA,NA,143396,10.90019032,138.0220947,154.6768,0.0122,1.5383,0.0366,7.993316956,0.545991792,0.150222095,0.395769697,18.61,NA,2.740448425,66.56240102,0.034217535,0.833913113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,11/18/2015,10:45,0.078275,396.6,734.4,2,9.18,66.3,NA,10.71428571,NA,143397,7.938422412,49.57509995,202.103,0.0676,0.4582,0.0313,7.607779222,0.484106507,0.1171751,0.366931407,50.3,NA,0.337416445,8.195464837,0.037734668,0.919628911,NA,NA,23.35042735,2.501831502,76.64957265,8.212454212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,UP_2,11/18/2015,11:00,0.554225,634,1067,4,2.53,19.4,NA,7.142857143,NA,143398,8.186174861,25.86759949,348.1468,0.0121,0.7693,0.0092,7.769111935,0.415112777,0.037967599,0.377145178,31.56,NA,6.750541462,163.9630375,0.033088225,0.806390788,NA,NA,39.67599411,2.833999579,60.32400589,4.308857564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,11/18/2015,11:10,0.91245,158.5,257.7,4.8,10.16,79.4,NA,5.428571429,NA,143399,13.83192762,63.76800156,55.7479,0.0159,3.7337,0.0379,4.821216543,0.335670146,0.079668002,0.256002145,19.27,NA,1.798632469,43.68675382,0.035449881,0.863946525,NA,NA,44.74431818,2.428977273,55.25568182,2.999594156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,11/18/2015,11:25,4.63,159.1,282.5,2.3,10.14,74.1,NA,13.28571429,NA,143400,9.526290376,16.02350044,97.7455,0.0353,1.8733,0.0298,4.661615282,0.275547674,0.0513235,0.224224174,92.27,NA,0.419650179,10.19282949,0.036436902,0.888001156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,11/18/2015,12:25,NA,442.6,649,9.5,4.74,41.5,NA,NA,NA,143401,20.913,11.36009979,165.6839,0.0455,3.7016,0.1419,9.31652804,0.459232839,0.0568601,0.402372739,110.25,NA,6.829825107,165.8887478,0.029550649,0.720176758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,11/18/2015,12:35,113.8,383.7,627,4.8,8.84,68.8,NA,1.166666667,NA,143402,12.552,15.32199955,163.1329,0.0805,3.7136,0.1729,9.929237987,0.488467158,0.095822,0.392645159,37.02,3.271382779,0.548532198,13.32322836,0.032479821,0.79156341,NA,NA,100,1.166666667,0,0,0.8478,0.068533333,0.557000492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,11/18/2015,12:55,114.9955,380.7,615,5.2,11.18,88.2,NA,1.428571429,NA,143403,14.892,14.87059975,164.5645,0.0737,3.7199,0.2134,9.859108535,0.517251719,0.0885706,0.428681119,47.06,3.3130656,0.293533869,7.129606569,0.035265887,0.859462439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,11/18/2015,13:15,111.9,384.6,631,4.5,9.1,70.3,NA,1.428571429,NA,143404,16.588,35.4109993,166.6098,0.1175,3.9551,0.1481,9.563826633,0.519950272,0.152910999,0.367039272,24.2,3.21676391,0.788595702,19.15410006,0.041776795,1.018139302,NA,NA,77.92682927,1.113240418,22.07317073,0.31533101,0.724971429,0.057485714,0.577435986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,11/18/2015,14:05,337.8,317.7,516,5,11.59,90.8,NA,0.714285714,NA,143405,9.931703473,9.902600288,114.712,0.0294,4.8038,0.0252,6.623239293,0.347963006,0.0393026,0.308660405,11.77,1.034098923,0.3520747,8.551497326,0.035104791,0.855536373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,11/18/2015,14:40,387.5,307.6,489,5.7,10.75,85.7,NA,1.142857143,NA,143406,9.462475352,7.726200104,115.4419,0.0316,4.4276,0.0391,6.840568669,0.37635778,0.0393262,0.33703158,76.97,1.152351629,0.439747662,10.68097466,0.039397149,0.960145121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,UP_2,11/18/2015,14:55,43.3,255.4,419.7,4.6,9.89,76.6,NA,0.714285714,NA,143407,11.27181899,9.865200043,102.9252,0.0177,2.2223,0.0239,6.264419436,0.323636995,0.0275652,0.296071795,82.93,0.128766001,0.814408982,19.78107551,1.982197299,48.30798965,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTEB,BRDS,UP_2,2/1/2016,14:10,2.51,331.2,514,6.3,11.52,93.9,NA,6.5,165.941,142444,19.7407832,30.49959946,165.941,0.3712,4.3638,NA,5.677001763,0.641457511,0.401699599,0.239757912,NA,0.038553856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS,BRDS,UP_1,2/1/2016,14:20,4.9014,202.4,346.6,3.2,12.3,92.4,NA,1.714285714,70.785,142445,10.88961956,54.60620117,70.7847,0.5719,3.4114,NA,2.611802377,0.750835126,0.626506201,0.124328925,NA,0.075286004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS_OUT,BRDS,OUT,2/1/2016,14:35,8.32,254.9,456,2.1,12.38,88.7,NA,60.6557377,91.037,142446,9.685740155,34.76179886,91.0374,0.5344,3.8731,NA,3.070804315,0.735209752,0.569161799,0.166047954,NA,0.135313464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD,OMPD,OUT,2/1/2016,14:45,50.59,192.1,NA,1.5,12.8,89.5,NA,12.62411348,41.319,142447,15.17134157,20.21829987,41.3191,0.2929,2.6604,NA,4.277629327,0.503126999,0.3131183,0.190008699,NA,0.822777422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLGB,OMPD,UP_2,2/1/2016,14:55,2.006,592,973,4.5,12.47,96.4,NA,15.28571429,275.614,142448,13.19894796,17.50270081,275.6142,1.1001,6.9056,0.0313,3.379074685,1.267391592,1.117602701,0.149788891,NA,0.032624857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD_IN,OMPD,UP_1,2/1/2016,15:05,43.173633,109.1,NA,0.7,13.25,92.8,NA,1.833333333,37.184,142449,10.50725534,12.48250008,37.184,0.2744,2.5202,NA,4.552835998,0.451103696,0.2868825,0.164221196,NA,0.702160318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAM,OMPD,UP_3,2/1/2016,15:15,1.7364,134.9,238.7,2.1,10.42,75.4,NA,2.166666667,40.352,142450,11.64677641,51.38679886,40.3519,0.394,2.536,NA,4.842629595,0.637780953,0.445386799,0.192394154,NA,0.02824018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_OUT,MCLN,OUT,2/1/2016,15:25,549.0588,86.1,NA,0.4,13.28,92.1,NA,1.166666667,29.93,142451,7.569486744,17.05629921,29.93,0.1773,2.6285,NA,4.702595105,0.437914043,0.194356299,0.243557743,NA,7.527998474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piscassic,MCLN,UP_2,2/1/2016,15:40,56.9778,121,NA,0.3,13.1,90.8,NA,5.333333333,40.201,142452,10.60568573,10.2663002,40.201,0.1502,4.1487,NA,5.671166992,0.35620253,0.1604663,0.19573623,NA,0.781207389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sidetrib_IN,MCLN,UP_3,2/1/2016,15:50,1.735233,68.4,119.7,2.6,9.22,67.5,NA,14.25,11.495,142453,17.5488141,12.5951004,11.4952,0.0953,2.2259,NA,5.92206212,0.388096675,0.1078951,0.280201575,NA,0.023791316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_IN,MCLN,UP_1,2/1/2016,15:55,480.037965,80.1,NA,0.5,13.43,93,NA,3.833333333,26.497,142454,8.266071051,11.49479961,26.4972,0.1719,2.3036,NA,4.202749774,0.349768553,0.1833948,0.166373753,NA,6.581672251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD,LMPD,OUT,2/1/2016,16:05,475.3,79.1,NA,0.2,12.99,89.8,NA,3.166666667,27.524,142455,11.17355338,11.62520027,27.5238,0.177,2.3655,NA,4.279574251,0.321826709,0.1886252,0.133201508,NA,6.516711279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD_IN,LMPD,UP,2/1/2016,16:20,471.2,81.8,NA,1,12.75,89,NA,9.5,27.443,142456,9.526737215,2.5,27.4429,0.1768,2.3873,NA,4.202749774,0.369621969,0.1793,0.190321969,NA,6.516191217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_OUT,CCBP,OUT,3/9/2016,9:30,1.72665,321,518,5.2,8.28,65.1,NA,2.875,NA,159464,NA,2.5,143.3714,0.0288,2.1557,0.0503,4.992574264,0.180645128,0.0313,0.149345128,NA,NA,16.04026565,388.9418513,0.043507631,1.054966234,NA,NA,67.71835321,1.946902655,32.28164679,0.928097345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,SIDE,3/9/2016,9:45,3.962682,269.5,436.9,5.2,7.14,56.2,NA,NA,NA,168784,NA,10.2686409,119.2025,0.002,1.6642,0.0749,5.625713955,0.249304801,0.012268641,0.23703616,NA,NA,4.722445158,114.5091111,0.033504056,0.812401105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,3/9/2016,10:05,0.078275,419.3,630,7.6,7.56,63.2,NA,3.75,NA,159465,NA,2.5,178.1565,0.0222,0.9757,0.0153,5.754003331,0.200005554,0.0247,0.175305554,NA,NA,2.180176047,52.8645676,0.038726913,0.939044114,NA,NA,93.7232525,3.514621969,6.276747504,0.235378031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,UP_2,3/9/2016,10:15,0.554225,832,1266,7.1,8.68,71.7,NA,4.25,NA,159466,NA,6.176483605,323.8073,0.0259,3.5147,0.0171,5.746820038,0.192648592,0.032076484,0.160572109,NA,NA,1.264109374,30.65192628,0.031920971,0.774014702,NA,NA,63.17211329,2.684814815,36.82788671,1.565185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,3/9/2016,10:20,0.91245,166.9,254.3,6.7,9.24,75.6,NA,2,NA,159467,NA,2.5,69.279,0.0253,2.6517,0.0464,4.652565058,0.169692658,0.0278,0.141892658,NA,NA,5.053898276,122.5461345,0.050038686,1.213330225,NA,NA,98.7933635,1.97586727,1.206636501,0.02413273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,3/9/2016,10:45,4.63,254.5,390.3,7,10,82.3,NA,7.125,NA,168819,NA,9.750919886,104.065,0.0083,2.0236,0.0467,6.000206766,0.245142411,0.01805092,0.227091491,NA,NA,1.352897505,32.80484698,0.066556756,1.613857813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,3/9/2016,11:05,63.9,159.9,253.9,5.6,10.75,85.7,NA,1.25,NA,163899,NA,2.5,53.8167,0.1448,2.9744,NA,4.935564201,0.365737371,0.1473,0.218437371,NA,NA,1.224328229,29.68731929,0.067243974,1.630521367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,3/9/2016,11:20,6,378.5,547,8.9,10.98,94.7,NA,1.366459627,NA,163900,NA,5.340606985,131.1813,1.1209,4.3942,NA,3.699605633,1.421199632,1.126240607,0.294959025,NA,NA,2.245095491,54.43872411,0.064909089,1.573905437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,3/9/2016,11:30,55.7,135,210.5,6.3,11.3,91.7,NA,1.5,NA,163901,NA,2.5,40.7973,0.0229,2.7142,NA,5.321956058,0.332188549,0.0254,0.306788549,NA,NA,0.555666424,13.47371249,0.056963856,1.381250663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,3/9/2016,12:30,NA,341.3,467,12,9.57,90,NA,NA,NA,168785,NA,2.5,143.1887,0.3178,5.1996,0.1278,7.108671658,0.600076517,0.3203,0.279776517,NA,NA,4.908739416,119.0263451,0.047871051,1.160769762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,3/9/2016,12:45,113.8,348.2,537,6.7,10.42,85.2,NA,0.875,NA,158697,NA,5.084467826,143.5634,0.3452,5.0062,0.1962,6.078987063,0.568207116,0.350284468,0.217922648,NA,NA,1.206130471,29.2460629,0.043491072,1.054564703,NA,NA,100,0.875,0,0,0.7617,0.06425,0.632457116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_BD,SMD,OUT,3/9/2016,13:00,NA,348,534,6.8,10.9,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,3/9/2016,13:20,114.9955,348,534,6.8,10.96,89.9,NA,1.25,NA,168820,NA,6.294754405,143.9939,0.3864,5.0502,0.0704,6.501719486,0.613304779,0.392694754,0.220610025,NA,NA,0.743145652,18.01967946,0.044512791,1.079339191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,3/9/2016,13:45,111.9,366,539,8.3,10.85,92.3,NA,1,NA,158698,NA,2.5,145.4919,0.3219,4.8543,NA,6.119462881,0.543775764,0.3244,0.219375764,NA,NA,0.954747489,23.15056769,0.055786478,1.35270178,NA,NA,100,1,0,0,0.71525,0.0664,0.610175764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,3/9/2016,14:35,337.8,278,421.5,7.3,11.42,94.8,NA,1.366459627,NA,163902,NA,2.5,107.0651,0.0722,3.8952,NA,6.443152942,0.387661374,0.0747,0.312961374,NA,NA,2.945497572,71.42196414,0.067103219,1.62710835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,3/9/2016,15:00,387.5,277.2,418.5,7.4,11.27,93.7,NA,1.98757764,NA,163903,NA,2.5,106.9928,0.0661,3.9761,NA,6.23096767,0.413460316,0.0686,0.344860316,NA,NA,2.921798166,70.84730466,0.066172577,1.604542284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,ID,UP_2,3/9/2016,15:15,43.3,243.3,346.5,9.5,10.36,90.7,NA,1.625,NA,163904,NA,2.5,63.836,0.0158,2.4648,NA,4.634211578,0.285383353,0.0183,0.267083353,NA,NA,3.857924693,93.54635419,0.065614523,1.591010675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,4/6/2016,14:15,111.9,337,531,6,12.46,100.5,NA,2.142857143,NA,158699,NA,2.5,157.9641,0.1806,3.8201,NA,7.192650298,0.437424595,0.1831,0.254324595,NA,NA,NA,NA,NA,NA,NA,NA,51.14427861,1.095948827,48.85572139,1.046908316,1.002285714,0.108914286,0.546338881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,4/6/2016,15:45,113.8,375.1,598,5.6,12.2,97.1,NA,1.714285714,NA,168818,NA,2.5,160.0428,0.2081,3.8705,0.041,7.462132734,0.46854634,0.2106,0.25794634,NA,NA,NA,NA,NA,NA,NA,NA,84.18234065,1.44312584,15.81765935,0.271159875,0.9484,0.105257143,0.573803483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,4/6/2016,16:00,NA,399.2,580,8.5,12.67,107.7,NA,NA,NA,168786,NA,7.459878819,159.894,0.2302,3.9685,0.08,8.007500824,0.503269323,0.237659879,0.265609444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_DOWN,SMD,DOWN,4/6/2016,16:15,114.9955,394.5,625,5.9,12.32,98.6,NA,4.428571429,NA,158700,NA,6.424753106,160.6851,0.2061,4.1343,NA,7.24700354,0.486187578,0.212524753,0.273662825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_OUT,CCBP,OUT,5/26/2016,9:30,1.72665,568,639,19.2,7.47,80.9,NA,10.66666667,NA,159468,NA,9.875823993,174.5544,0.0273,0.8855,0.0296,8.477668625,0.32053804,0.037175824,0.283362216,NA,NA,0.246226757,5.970467861,0.041416274,1.004255322,NA,NA,59.64819785,6.362474438,40.35180215,4.304192229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_SIDE,CCBP,SIDE,5/26/2016,9:45,3.962682,572,646,19.4,6.85,74.4,NA,NA,NA,168787,NA,2.5,180.8443,0.002,0.7729,0.0754,10.01606379,0.384877828,0.0045,0.380377828,NA,NA,0.479866842,11.63573609,0.043132763,1.045876484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_3,CCBP,UP_3,5/26/2016,10:00,0.078275,1049,1170,19.7,4.71,51.6,NA,24.66666667,NA,159469,NA,110.193231,304.6454,0.0461,0.8885,0.0704,8.816480615,0.486982394,0.156293231,0.330689163,NA,NA,0.269826765,6.542717177,0.040241387,0.975766852,NA,NA,38.84907788,9.582772544,61.15092212,15.08389412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_2,CCBP,UP_2,5/26/2016,10:15,0.554225,1211,1395,18.2,3,31.7,NA,11.16666667,NA,159470,NA,19.45058735,351.9973,0.0216,0.969,0.032,9.519246122,0.393941715,0.041050587,0.352891128,NA,NA,0.345346793,8.373914987,0.042759244,1.036819455,NA,NA,59.83455679,6.681525508,40.16544321,4.485141159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBP_UP_1,CCBP,UP_1,5/26/2016,10:20,0.91245,262.9,280.7,21.8,4.16,47.5,NA,5,NA,159471,NA,2.5,68.2835,0.0244,0.7674,0.0141,7.934132781,0.285689272,0.0269,0.258789272,NA,NA,6.436832442,156.0793057,0.036657303,0.888860549,NA,NA,77.44047619,3.87202381,22.55952381,1.12797619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CCBP,DOWN,5/26/2016,10:45,4.63,544,628,18,6.51,68.8,NA,4.833333333,NA,168821,NA,25.73568523,174.0722,0.0073,0.7894,0.0442,7.668637972,0.373055494,0.033035685,0.340019809,NA,NA,0.754413609,18.29290313,0.044519876,1.079510993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,5/26/2016,11:15,63.9,321.4,360.1,19.5,5.93,64.6,NA,2.571428571,NA,163905,NA,48.106491,81.8543,0.2626,2.0302,NA,6.502597843,0.645191922,0.310706491,0.334485431,NA,NA,0.388613475,9.423038733,0.05737402,1.391196268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,5/26/2016,11:25,6,558,656,17.5,9.09,95.1,NA,2.75,NA,163906,NA,22.49037773,163.0406,1.4548,4.0464,NA,3.681441913,1.804104881,1.477290378,0.326814504,NA,NA,1.317667148,31.9505868,0.062628752,1.518612188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,5/26/2016,11:45,55.7,248.3,272.1,20.4,7.25,80.2,NA,2.142857143,NA,163907,NA,39.64014848,54.3649,0.1808,1.3451,NA,7.372805145,0.620208756,0.220440148,0.399768608,NA,NA,NA,NA,0.045738906,1.109069839,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_SIDE,SMD,SIDE,5/26/2016,12:40,NA,591,611,23.2,6.75,86.8,NA,NA,NA,168788,NA,63.63512039,161.1429,0.1648,2.764,0.0777,9.715717925,0.674171875,0.22843512,0.445736754,NA,NA,2.66636583,64.65362137,0.045214282,1.096348832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,5/26/2016,13:00,113.8,562,621,20.2,7.13,78.8,NA,3,NA,158701,NA,59.31060491,159.7554,0.2531,2.8967,NA,8.761955605,0.723770007,0.312410605,0.411359402,NA,NA,0.691480253,16.76690495,0.053373972,1.29420373,NA,NA,65.80152672,1.974045802,34.19847328,1.025954198,1.418971429,0.140228571,0.863998578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
