"Date","Year","Discharge.m3s","CArea.km2.UP","CArea.km2.OUT","DIN.mgL.UP","DON.mgL.UP","PN.mgL.UP","TDN.mgL.UP","TN.mgL.UP","DINCA.UP","DONCA.UP","PNCA.UP","TDNCA.UP","TDNCA.UP.1","DIN.mgL.OUT","DON.mgL.OUT","PN.mgL.OUT","TDN.mgL.OUT","TN.mgL.OUT","DINCA.OUT","DONCA.OUT","PNCA.OUT","TDNCA.OUT","TNCA.OUT","RDIN","RDON","RPN","RTDN","RTN","Date3","Time2.OUT","HL.myr2","RDIN2","RDON2","RPN2","DIN.mgL.OUT2","DON.mgL.OUT2","PN.mgL.OUT2"
2015-06-18,"2015",0.365286976811356,111.9,113.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20150618","1530",677.62882945429,13.8492232459825,-6.6447278663155,-11.4301846068196,NA,NA,NA
2015-06-26,"2015",1.31673212571535,111.9,113.8,0.1009213,0.486129474,0.07652004,0.587050774,0.663570814,11.29309347,54.3978881406,8.562592476,65.6909816106,65.6909816106,0.135831902,0.490800974,0.062767857,0.626632876,0.689400733,15.4576704476,55.8531508412,7.1429821266,71.3108212888,78.4538034154,-0.368772027670112,-0.0267521911298953,0.165792118844732,-0.0855496377191166,-0.0565660223156584,"20150626","1140",2442.61554803291,9.51671867487354,-5.16314540910109,-9.35079338360472,0.0897922806218769,0.502693587036725,0.0822782320449108
2015-07-10,"2015",1.08170252048014,111.9,113.8,0.191717501,0.449269324,0.097149116,0.640986825,0.738135941,21.4531883619,50.2732373556,10.8709860804,71.7264257175,71.7264257175,0.1667649,0.498145173,0.09153126,0.664910073,0.756441333,18.97784562,56.6889206874,10.416257388,75.6667663074,86.0830236954,0.115383443250613,-0.127616275960501,0.0418295717644105,-0.0549356886319602,-0.0422000135552506,"20150710","1215",2006.62180505069,10.080271402944,-5.36679192971721,-9.64318438017644,0.169513609406289,0.465477130059824,0.104738974622814
2015-07-24,"2015",0.142150435937442,111.9,113.8,0.414576999,0.29010223,0.045017308,0.704679229,0.749696537,46.3911661881,32.462439537,5.0374367652,78.8536057251,78.8536057251,0.2505043,0.331346885,0.0689325,0.581851185,0.650783685,28.50738934,37.707275513,7.8445185,66.214664853,74.059183353,0.385499618086502,-0.161566291714523,-0.557244063923957,0.16028361361384,0.117197961134371,"20150724","1245",263.697420454305,18.2540004809537,-8.00059466651464,-13.2507784029126,0.333241849639756,0.308081087374497,0.0501312508624209
2015-08-07,"2015",0.118930643613,111.9,113.8,0.3327734,0.3688796,0.03675847,0.701653,0.73841147,37.23734346,41.27762724,4.113272793,78.5149707,78.5149707,0.1130609,0.4388221,0.045082916,0.551883,0.596965916,12.86633042,49.93795498,5.1304358408,62.8042854,67.9347212408,0.654477757420561,-0.20980682076628,-0.247288011028837,0.200097957879006,0.177826874093539,"20150807","1145",220.623339822327,19.2318570796879,-8.28631477191082,-13.6260743532312,0.264287440997366,0.392776989134292,0.0410698629360757
2015-08-26,"2015",0.220021690684049,111.9,113.8,0.1731134,0.3526836,0.049322117,0.525797,0.575119117,19.37138946,39.46529484,5.5191448923,58.8366843,58.8366843,0.098567004,0.421382996,0.047363112,0.51995,0.567313112,11.2169250552,47.9533849448,5.3899221456,59.17031,64.5602321456,0.420954027156295,-0.215077326527329,0.0234135448917611,-0.0056703688178431,-0.00317613735795763,"20150826","1230",408.153178671305,16.0637440292265,-7.34167895436543,-12.3746140238009,0.142878901952909,0.372255800400233,0.0545001561523414
2015-09-16,"2015",0.0566336398157141,111.9,113.8,0.056057001,0.391931999,0.040251068,0.447989,0.488240068,6.2727784119,43.8571906881,4.5040945092,50.1299691,50.1299691,0.0101201,0.4170449,0.047482985,0.427165,0.474647985,1.15166738,47.45970962,5.403563693,48.611377,54.014940693,0.816402349265967,-0.0821420358982887,-0.199700335319953,0.0302930986646071,0.0113321776800024,"20150916","1330",105.058733248727,23.8947553638184,-9.58866339116925,-15.3048929394694,0.041950029489122,0.422341907522014,0.0456365672383619
2015-10-02,"2015",1.18930643613,111.9,113.8,0.1235197,0.4090243,0.105698321,0.532544,0.638242321,13.82185443,45.76981917,11.8276421199,59.5916736,59.5916736,0.208271301,0.391286699,0.07837779,0.599558,0.67793579,23.7012740538,44.5284263462,8.919392502,68.2297004,77.149092902,-0.714768027245097,0.0271225197370603,0.245885831547682,-0.144953586267461,-0.0802272763935693,"20151002","1200",2206.23339822327,9.80440455147142,-5.2675834778645,-9.501031422391,0.109549243454897,0.423381217947692,0.113808348982774
2015-10-14,"2015",0.116098961622214,111.9,113.8,0.1322727,0.3373043,0.030271975,0.469577,0.499848975,14.80131513,37.74435117,3.3874340025,52.5456663,52.5456663,0.1158929,0.3613301,0.043052262,0.477223,0.520275262,13.18861202,41.11936538,4.8993474156,54.3079774,59.2073248156,0.108956744440317,-0.0894177302134293,-0.446329998454339,-0.0335386574020851,-0.0585382268351331,"20151014","1445",215.370403159891,19.3679390083435,-8.32569507280687,-13.6775918949918,0.104873510045596,0.359286737747132,0.0338379033486304
2015-10-28,"2015",0.113550447830507,111.9,113.8,0.1158348,0.3140742,0.032652732,0.429909,0.462561732,12.96191412,35.14490298,3.6538407108,48.1068171,48.1068171,0.0372971,0.3524479,0.037370567,0.389745,0.427115567,4.24440998,40.10857102,4.2527705246,44.352981,48.6057515246,0.672547592839629,-0.141234364562756,-0.16391787743502,0.0780312713725557,0.0609518197726948,"20151028","1235",210.642760163698,19.4941328699859,-8.36213297378187,-13.7252158949629,0.0916968484969572,0.334655241658122,0.0365143957540892
