"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2015-08-12,7.08,"SMD",0.200483084947628,200.483084947628,"20150812"
2015-08-13,4.83,"SMD",0.13677024015495,136.77024015495,"20150813"
2015-08-14,3.45,"SMD",0.0976930286821069,97.6930286821069,"20150814"
2015-08-15,2.62,"SMD",0.0741900681585855,74.1900681585855,"20150815"
2015-08-16,1.9,"SMD",0.0538019578249284,53.8019578249284,"20150816"
2015-08-17,1.62,"SMD",0.0458732482507285,45.8732482507285,"20150817"
2015-08-18,1.37,"SMD",0.0387940432737642,38.7940432737642,"20150818"
2015-08-19,1.21,"SMD",0.0342633520885071,34.2633520885071,"20150819"
2015-08-20,1.05,"SMD",0.0297326609032499,29.7326609032499,"20150820"
2015-08-21,5.35,"SMD",0.151494986507035,151.494986507035,"20150821"
2015-08-22,14.4,"SMD",0.407762206673142,407.762206673142,"20150822"
2015-08-23,10.4,"SMD",0.294494927041713,294.494927041713,"20150823"
2015-08-24,8.86,"SMD",0.250887024383614,250.887024383614,"20150824"
2015-08-25,8.26,"SMD",0.233896932438899,233.896932438899,"20150825"
2015-08-26,7.77,"SMD",0.220021690684049,220.021690684049,"20150826"
2015-08-27,6.85,"SMD",0.193970216368821,193.970216368821,"20150827"
2015-08-28,5.81,"SMD",0.16452072366465,164.52072366465,"20150828"
2015-08-29,4.92,"SMD",0.139318753946657,139.318753946657,"20150829"
2015-08-30,4.15,"SMD",0.117514802617607,117.514802617607,"20150830"
2015-08-31,3.45,"SMD",0.0976930286821069,97.6930286821069,"20150831"
2015-09-01,2.42,"SMD",0.0685267041770141,68.5267041770141,"20150901"
2015-09-02,1.86,"SMD",0.0526692850286141,52.6692850286141,"20150902"
2015-09-03,1.33,"SMD",0.0376613704774499,37.6613704774499,"20150903"
2015-09-04,0.98,"SMD",0.0277504835096999,27.7504835096999,"20150904"
2015-09-05,0.76,"SMD",0.0215207831299714,21.5207831299714,"20150905"
2015-09-06,0.64,"SMD",0.0181227647410285,18.1227647410285,"20150906"
2015-09-07,0.56,"SMD",0.0158574191484,15.8574191484,"20150907"
2015-09-08,0.49,"SMD",0.01387524175485,13.87524175485,"20150908"
2015-09-09,0.47,"SMD",0.0133089053566928,13.3089053566928,"20150909"
2015-09-10,0.62,"SMD",0.0175564283428714,17.5564283428714,"20150910"
2015-09-11,1.51,"SMD",0.0427583980608642,42.7583980608642,"20150911"
2015-09-12,1.44,"SMD",0.0407762206673142,40.7762206673142,"20150912"
2015-09-13,1.5,"SMD",0.0424752298617856,42.4752298617856,"20150913"
2015-09-14,1.6,"SMD",0.0453069118525713,45.3069118525713,"20150914"
2015-09-15,1.6,"SMD",0.0453069118525713,45.3069118525713,"20150915"
