"Date","Site","Discharge.m3s.OUT","HL.myr","RSpCond","RTemp","RDO.mgL","RDO.pct","RTSS","RChl","RPO4","RNH4","RCl","RNO3","RSO4","RBr","RDOC","RTDN","RDON","RDIN","RTDP","RN2O","RCH4","RAFDM","RAsh","RPC","RPN","RTN","RNAr","RN2","RFlag"
2015-06-18,"ID",1.48789495151347,362.026504057779,-0.0194221591759813,-0.0481362942792691,-1.27171057222098,-0.0949020942802478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-18,"PD",0.337835405543272,65.6999978367956,-0.112480384368339,-0.0550603082074974,0.0889960216303851,0.0820961974041971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-18,"SMD",0.360677092531158,187.049824698031,-0.00815149935458237,-0.0169794459338695,-0.264630060289524,-0.265311636220047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-19,"BRDS",0.0226282571962237,11.5739703993141,-0.00697186632063382,-0.374494269539938,-0.577323552380913,-0.710805779801799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-19,"LH",0.00302886021927582,26.4813240574113,0.0228093947606144,-0.24363587898174,-0.0608354359405664,-0.177896012221461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-19,"LMPD",1.31458437623275,213.07942479891,0.0266007574096033,-0.0359633827375764,-0.020034909673604,-0.0224785705412234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-19,"MCLN",1.51858640882201,90.9511402352889,0.0063412315002799,-0.0357157706540271,0.0354384849206746,0.0270186007607109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-19,"OMPD",0.137591770619826,47.4088399701376,-0.0116781853595233,-0.32323375696093,0.0109903424378155,0.0149216365810719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-24,"BRDS",0.0977300144687401,49.9872475717884,-0.081588443451459,-0.186739643766894,0.134536047809935,0.114943310590265,-0.104755553705113,NA,0.421481480736687,0.165604561667904,-0.0930087782773067,0.566745841851273,-0.0360516535928991,-0.320052486762413,-0.214922552480082,0.191125883462967,-0.0505437922788582,0.517284476935256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-24,"LH",0.0130814560965401,114.371167025364,0.314139793746931,-0.210131332082551,0.167937535906409,0.113737149768192,-0.895872420327825,NA,0.0977932999192579,-0.327642070362274,0.393261838862902,0.748329829815417,0.350532299523385,0.616299821534801,-0.528872835997325,0.284165482011274,-0.456744437540547,0.669265738971638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2015-06-24,"LMPD",3.70780208681032,600.993249432823,-0.030961302954331,0.0391251609975996,0.0720403948373314,0.0800723203935464,0.178095328074986,NA,-4.32994165406136,-0.427083015040131,0.0232913296762273,0.0150165435003652,-0.12635100859907,-0.150953920160202,-0.0402349402599964,-0.039784146211592,-0.0345967725246637,-0.0473409818388639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-24,"MCLN",4.283192435139,256.528857073892,-0.107717137522621,0.0600779388113513,0.123414992942695,0.15213758623517,-0.00346434117817918,NA,0.443328530476251,0.273635160098149,0.10292058109265,0.338185737953276,0.264187081548164,0.559078001597302,0.00435488141213173,0.231117111355355,0.163459255117809,0.330094284669557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-24,"OMPD",0.594250172112207,204.755787246441,-0.126816801460858,-0.105350776656341,0.0808922284339014,0.082144964100987,-0.0271356651686781,NA,0.0517832013697448,0.253735129347664,0.144315966024934,0.285168418823469,0.0963906286915656,-0.019704331390413,0.0720329837285582,0.170987330158736,0.0728922162764468,0.280974294232598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-06-26,"ID",2.88088999723564,700.962479382943,-0.0140936166628566,0.0192153479412649,-0.0163081627982347,0.00220073296859754,0.277296221968878,NA,-0.166575927317031,-0.274310706591699,-0.0461492674527586,-0.376225485278124,-0.13540014262231,0.116681380515743,-0.113009741271849,-0.167761239557136,-0.140813108959777,-0.351006097980676,NA,NA,-0.145900248737107,NA,NA,0.151811476335344,0.151470477007701,-0.0923517025061472,NA,NA,0
2015-06-26,"PD",0.39359464723488,76.5436868001503,-0.119061056575628,-0.0775795359974303,0.298608837505938,0.284967509834393,-0.00946468413247436,NA,0.541946511270366,-0.556734040348061,-0.0961484537984449,0.437536543973988,0.110701835923898,-0.203251899397433,-0.293379615084559,0.0498420926721259,-0.136099060728929,0.288224369203763,NA,NA,NA,NA,NA,0.17945708944928,0.172420716263526,0.0778689560846614,NA,NA,0
