Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_OUT,7/15/18,1.565849307,-0.720143644,3.970478841,-11.34034833,-16.06702476,-6.512616968,0.401961544,0.23097757,0.563730241
SMD_OUT,7/16/18,3.719127603,0.243003092,6.219477677,-11.0166033,-15.4185946,-6.03554057,0.417929836,0.250646927,0.587756064
SMD_OUT,7/17/18,3.62241365,2.020553462,5.235976338,-7.89330949,-12.12380427,-3.210919833,0.419023311,0.237657664,0.582446703
SMD_OUT,7/18/18,2.223424417,0.110141932,4.737182336,-9.465883062,-13.61060773,-4.68855709,0.598262772,0.381540794,0.792881267
SMD_OUT,7/19/18,1.540398884,-0.451859348,3.824364187,-9.851600562,-14.07985869,-5.288959885,0.546249554,0.357120735,0.713791249
SMD_OUT,7/20/18,0.227012168,-2.076880671,2.709137463,-7.19399546,-12.02805978,-2.837943476,0.506355982,0.324751731,0.673326328
SMD_OUT,7/21/18,0.321498082,-1.844491061,2.500485015,-7.777689361,-12.36410948,-3.359785708,0.467135202,0.307546303,0.62589649
SMD_OUT,7/22/18,0.135070434,-2.233602725,2.528767371,-8.47881479,-12.88611573,-3.721277701,0.452105979,0.27058177,0.606737025
SMD_OUT,7/23/18,0.800917729,-1.623525522,3.414763426,-7.638937185,-12.17920151,-3.401844967,0.479533823,0.312680996,0.627978232
SMD_OUT,7/24/18,0.397114572,-2.178879466,2.625180303,-9.601843582,-13.85947212,-4.807946468,0.478350644,0.3287184,0.633970371
SMD_OUT,7/25/18,0.037431389,-2.64262764,2.708910634,-9.934389422,-14.65838558,-5.18832192,0.451445919,0.298217611,0.604002086
SMD_OUT,7/26/18,2.251723366,-0.096128983,4.342327657,-8.22214426,-12.87412143,-3.435350472,0.511764231,0.32331981,0.675958168
SMD_OUT,7/27/18,1.245707753,-0.901411173,3.418129656,-10.73800072,-15.06039144,-5.654601922,0.519929752,0.323612335,0.682435831
SMD_OUT,7/28/18,-0.899888385,-3.022396882,1.331391438,-6.225718336,-10.72828458,-1.428280771,0.487006237,0.313149233,0.643816898
SMD_OUT,7/29/18,1.621868512,-0.540823528,3.931197626,-9.587634514,-14.13009797,-5.216237128,0.458886148,0.292166219,0.614429703
SMD_OUT,7/30/18,0.692615085,-1.761036526,3.212726655,-8.333139211,-12.7416322,-3.171675926,0.431474005,0.268957337,0.587706129
SMD_OUT,7/31/18,1.167939924,-1.335820983,3.385580706,-8.967721399,-13.5199388,-3.911769386,0.412662122,0.238164914,0.590826099
SMD_OUT,8/1/18,1.238775938,-1.231556293,3.999884114,-10.26581622,-15.19159672,-5.244276653,0.402928666,0.224999524,0.568228443
SMD_OUT,8/2/18,2.516109819,0.374280719,4.865560014,-10.30017717,-15.23033564,-5.678414168,0.421219511,0.262776026,0.589285197
SMD_OUT,8/3/18,-2.742280265,-5.03511521,-0.679910475,-5.568052546,-10.15003524,-0.51847908,0.416056471,0.252890299,0.573698937
SMD_OUT,8/4/18,0.381876005,-2.075156873,2.840216915,-8.801428447,-13.77775543,-3.696888076,0.417187398,0.246656708,0.571799616
SMD_OUT,8/7/18,4.633728001,2.398532261,6.879508247,-12.71516851,-18.05774926,-7.719602085,0.489145656,0.304850009,0.699678059
SMD_OUT,8/8/18,-1.059556041,-3.208575352,1.586453416,-9.205344383,-15.88625466,-3.717136088,0.540306698,0.314122939,0.835235767
SMD_OUT,8/9/18,3.423447921,0.920608223,5.735107118,-13.5198728,-19.3835955,-8.398801699,0.515690266,0.322644559,0.754686073
SMD_OUT,8/11/18,0.750859966,-1.840081261,3.133370648,-9.787947503,-16.06653235,-4.694348101,0.506844208,0.307786925,0.732198923
SMD_OUT,8/12/18,3.135770571,0.698046479,5.827797012,-5.473676855,-10.4306212,-1.195515158,0.672100394,0.491148232,0.890137034
SMD_OUT,8/13/18,0.704973349,-1.623498942,3.316620162,-12.10928652,-17.17236828,-7.440549964,0.813380857,0.563631814,1.071787495
