"","Date","Discharge.m3s","Site"
"109",2015-04-19,0.0327791174181454,"CCBP"
"110",2015-04-20,0.0739584199503608,"CCBP"
"111",2015-04-21,0.223910246964895,"CCBP"
"112",2015-04-22,0.103901151322462,"CCBP"
"113",2015-04-23,0.0705504897443381,"CCBP"
"114",2015-04-24,0.0547006793343164,"CCBP"
"115",2015-04-25,0.0432222989277035,"CCBP"
"116",2015-04-26,0.0363021562811307,"CCBP"
"117",2015-04-27,0.0334601052503548,"CCBP"
"118",2015-04-28,0.0323398257162787,"CCBP"
"119",2015-04-29,0.0285987908429952,"CCBP"
"120",2015-04-30,NA,"CCBP"
"121",2015-05-01,0.0260537218807584,"CCBP"
"122",2015-05-02,0.0231871530171681,"CCBP"
"123",2015-05-03,0.0201419487031825,"CCBP"
"124",2015-05-04,0.018901031962237,"CCBP"
"125",2015-05-05,0.017799867069078,"CCBP"
"126",2015-05-06,0.0178026109379556,"CCBP"
"127",2015-05-07,0.018696670840087,"CCBP"
"128",2015-05-08,0.0194516423473062,"CCBP"
"129",2015-05-09,0.0191211575889582,"CCBP"
"130",2015-05-10,0.0184037589278082,"CCBP"
"131",2015-05-11,0.0172571828268329,"CCBP"
"132",2015-05-12,0.0168454864305976,"CCBP"
"133",2015-05-13,0.0163092697672553,"CCBP"
"134",2015-05-14,0.0150018244605967,"CCBP"
"135",2015-05-15,0.0147820547079504,"CCBP"
"136",2015-05-16,0.0143867326236755,"CCBP"
"137",2015-05-17,0.0139279081221322,"CCBP"
"138",2015-05-18,0.0131312051593699,"CCBP"
"139",2015-05-19,0.0126675995330955,"CCBP"
"140",2015-05-20,0.0126118734169354,"CCBP"
"141",2015-05-21,NA,"CCBP"
"142",2015-05-22,0.010728244135625,"CCBP"
"143",2015-05-23,0.0104533794660842,"CCBP"
"144",2015-05-24,0.0091349746270021,"CCBP"
"145",2015-05-25,0.00780754319570585,"CCBP"
"146",2015-05-26,0.00618832008923057,"CCBP"
"147",2015-05-27,0.00513881798488223,"CCBP"
"148",2015-05-28,0.00511931642612801,"CCBP"
"149",2015-05-29,0.00570383044409949,"CCBP"
"150",2015-05-30,0.00412462694118326,"CCBP"
"151",2015-05-31,0.0106646223558079,"CCBP"
"152",2015-06-01,0.0264687372978828,"CCBP"
"153",2015-06-02,0.331886001862244,"CCBP"
"154",2015-06-03,0.124200610993492,"CCBP"
"155",2015-06-04,0.0519501051295659,"CCBP"
"156",2015-06-05,0.0283367699475298,"CCBP"
"157",2015-06-06,0.0206710229263441,"CCBP"
"158",2015-06-07,0.017071868199882,"CCBP"
"159",2015-06-08,0.0162058921124685,"CCBP"
"160",2015-06-09,0.0148050206035878,"CCBP"
"161",2015-06-10,0.0139903242765798,"CCBP"
"162",2015-06-11,0.0120209094300473,"CCBP"
"163",2015-06-12,0.0110183211806541,"CCBP"
"164",2015-06-13,0.0102690697913151,"CCBP"
"165",2015-06-14,0.00974509352028755,"CCBP"
"166",2015-06-15,0.0103520015977602,"CCBP"
"167",2015-06-16,0.0100297543429259,"CCBP"
"168",2015-06-17,0.00924941984901412,"CCBP"
"169",2015-06-18,0.00817602714102866,"CCBP"
"170",2015-06-19,0.00793154753950331,"CCBP"
"171",2015-06-20,0.00785619050960544,"CCBP"
"172",2015-06-21,0.0185658503292756,"CCBP"
"173",2015-06-22,0.0172777655401677,"CCBP"
"174",2015-06-23,0.0144119024740753,"CCBP"
"175",2015-06-24,0.0134571067597033,"CCBP"
"176",2015-06-25,0.0125911922758755,"CCBP"
"177",2015-06-26,0.011632415423052,"CCBP"
"178",2015-06-27,0.0103616221976658,"CCBP"
"179",2015-06-28,0.0548222701421096,"CCBP"
"180",2015-06-29,0.0659522770464752,"CCBP"
"181",2015-06-30,0.0286032080459326,"CCBP"
"182",2015-07-01,0.0256556163432245,"CCBP"
"183",2015-07-02,0.028622822326523,"CCBP"
"184",2015-07-03,0.0194438415893771,"CCBP"
"185",2015-07-04,0.0152799910160169,"CCBP"
"186",2015-07-05,0.0133049345123831,"CCBP"
"187",2015-07-06,0.0119961212727405,"CCBP"
"188",2015-07-07,0.0114116270783262,"CCBP"
"189",2015-07-08,0.0109840611538911,"CCBP"
"190",2015-07-09,0.00987938242768897,"CCBP"
"191",2015-07-10,0.010610773598618,"CCBP"
"192",2015-07-11,0.00827858941312029,"CCBP"
"193",2015-07-12,0.0072639230700651,"CCBP"
"194",2015-07-13,0.00619060323964139,"CCBP"
"195",2015-07-14,0.00458496714724457,"CCBP"
"196",2015-07-15,0.00390229872189707,"CCBP"
"197",2015-07-16,0.00284392126509509,"CCBP"
"198",2015-07-17,0.00195824054397042,"CCBP"
"199",2015-07-18,0.00219546130913076,"CCBP"
"200",2015-07-19,0.00192377242362852,"CCBP"
"201",2015-07-20,0.00176868364890823,"CCBP"
"202",2015-07-21,0.00173108878363482,"CCBP"
"203",2015-07-22,0.0010342395784866,"CCBP"
"204",2015-07-23,0.000715660775064032,"CCBP"
"205",2015-07-24,0.00103289057287733,"CCBP"
"206",2015-07-25,0.00126930065133875,"CCBP"
"207",2015-07-26,0.00093423337126568,"CCBP"
"208",2015-07-27,0.00076568148866082,"CCBP"
"209",2015-07-28,0.000688124285890777,"CCBP"
"210",2015-07-29,0.000597395700566951,"CCBP"
"211",2015-07-30,0.000534722753982833,"CCBP"
"212",2015-07-31,0.000465145984773367,"CCBP"
"213",2015-08-01,0.000366710113356311,"CCBP"
"214",2015-08-02,0.00030522737780244,"CCBP"
"215",2015-08-03,0.000264293936937532,"CCBP"
"216",2015-08-04,0.000352935151881768,"CCBP"
"217",2015-08-05,0.000341014481639509,"CCBP"
"218",2015-08-06,0.000266391344561239,"CCBP"
"219",2015-08-07,0.000228102511399068,"CCBP"
"220",2015-08-08,0.000200746316223257,"CCBP"
"221",2015-08-09,0.000180422644443114,"CCBP"
"222",2015-08-10,0.000142460873088116,"CCBP"
"223",2015-08-11,0.000476232730304217,"CCBP"
"224",2015-08-12,0.000463030743117703,"CCBP"
"225",2015-08-13,0.000289170565381723,"CCBP"
"226",2015-08-14,0.000242926669585845,"CCBP"
"227",2015-08-15,0.000533674955315315,"CCBP"
"228",2015-08-16,0.000527366305418778,"CCBP"
"229",2015-08-17,0.000348682255045854,"CCBP"
"230",2015-08-18,0.000249552182732587,"CCBP"
"231",2015-08-19,0.000189664804398268,"CCBP"
"232",2015-08-20,0.000164487829347539,"CCBP"
"233",2015-08-21,0.00485460438420207,"CCBP"
"234",2015-08-22,0.00504550704965467,"CCBP"
"235",2015-08-23,0.00486374195069644,"CCBP"
"236",2015-08-24,0.00515612999052703,"CCBP"
"237",2015-08-25,0.00369540307014215,"CCBP"
"238",2015-08-26,0.00121379513946542,"CCBP"
"239",2015-08-27,0.000806979747502065,"CCBP"
"240",2015-08-28,0.00069743781782106,"CCBP"
"241",2015-08-29,0.000639816687895409,"CCBP"
"242",2015-08-30,0.000532423266164854,"CCBP"
