Date,Time,Discharge.m3s,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,TDN_UP_kg.day,TN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,TDN_OUT_kg.day,TN_OUT_kg.day
20160930,1200,0.000283168,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01
20161001,1200,0.009910887,0.07,0.31,0.09,0.38,0.47,0.02,0.35,0.07,0.46,0.55
20161002,1200,0.002548514,0.01,0.08,0.03,0.09,0.11,0.00,0.09,0.02,0.11,0.13
20161003,1200,0.001699009,0.01,0.05,0.02,0.06,0.07,0.00,0.06,0.01,0.07,0.09
20161004,1200,0.001132673,0.00,0.03,0.01,0.04,0.05,0.00,0.04,0.01,0.05,0.06
20161005,1200,0.000849505,0.00,0.03,0.01,0.03,0.04,0.00,0.03,0.01,0.03,0.04
20161006,1200,0.001132673,0.00,0.03,0.01,0.04,0.05,0.00,0.04,0.01,0.05,0.06
20161007,1200,0.001132673,0.00,0.03,0.01,0.04,0.05,0.00,0.04,0.01,0.05,0.06
20161008,1200,0.004247523,0.02,0.13,0.04,0.15,0.19,0.00,0.15,0.03,0.19,0.22
20161009,1200,0.013025737,0.10,0.41,0.12,0.51,0.63,0.03,0.46,0.08,0.61,0.73
20161010,1200,0.007362373,0.05,0.23,0.07,0.28,0.35,0.01,0.26,0.05,0.33,0.40
20161011,1200,0.004530691,0.03,0.14,0.05,0.16,0.21,0.01,0.16,0.03,0.20,0.24
20161012,1200,0.005097028,0.03,0.16,0.05,0.18,0.24,0.01,0.18,0.04,0.23,0.27
20161013,1200,0.004813859,0.03,0.15,0.05,0.17,0.22,0.01,0.17,0.03,0.21,0.26
20161014,1200,0.005380196,0.03,0.17,0.05,0.20,0.25,0.01,0.19,0.04,0.24,0.29
20161015,1200,0.006512869,0.04,0.20,0.06,0.24,0.30,0.01,0.23,0.04,0.29,0.35
20161016,1200,0.005663364,0.03,0.18,0.06,0.21,0.26,0.01,0.20,0.04,0.25,0.30
20161017,1200,0.005663364,0.03,0.18,0.06,0.21,0.26,0.01,0.20,0.04,0.25,0.30
20161018,1200,0.004530691,0.03,0.14,0.05,0.16,0.21,0.01,0.16,0.03,0.20,0.24
20161019,1200,0.003964355,0.02,0.12,0.04,0.14,0.18,0.00,0.14,0.03,0.17,0.21
20161020,1200,0.006796037,0.04,0.21,0.07,0.25,0.32,0.01,0.24,0.05,0.31,0.37
20161021,1200,0.039077211,0.41,1.26,0.31,1.68,1.99,0.14,1.42,0.22,1.92,2.33
20161022,1200,0.074473236,0.94,2.42,0.55,3.37,3.90,0.35,2.72,0.40,3.76,4.59
20161023,1200,0.090896992,1.21,2.97,0.65,4.18,4.81,0.48,3.33,0.48,4.64,5.67
20161024,1200,0.172166265,2.76,5.67,1.13,8.35,9.39,1.22,6.36,0.85,9.04,11.11
20161025,1200,0.19028903,3.14,6.28,1.24,9.31,10.42,1.42,7.04,0.93,10.04,12.34
20161026,1200,0.203597935,3.43,6.72,1.31,10.02,11.19,1.57,7.54,0.98,10.77,13.25
20161027,1200,0.192837544,3.20,6.36,1.25,9.44,10.57,1.45,7.14,0.94,10.18,12.52
20161028,1200,0.560673034,12.60,18.79,3.18,29.98,32.30,6.95,21.05,2.43,31.03,38.50
20161029,1200,0.489880984,10.59,16.39,2.82,25.90,28.04,5.70,18.36,2.16,26.95,33.40
20161030,1200,0.560673034,12.60,18.79,3.18,29.98,32.30,6.95,21.05,2.43,31.03,38.50
20161031,1200,0.690930406,16.47,23.23,3.81,37.58,40.19,9.44,26.01,2.93,38.60,47.98
20161101,1200,0.818356095,20.46,27.58,4.41,45.13,47.98,12.10,30.87,3.41,46.06,57.33
20161102,1200,0.713583862,17.16,24.00,3.92,38.92,41.57,9.90,26.87,3.02,39.92,49.63
20161103,1200,0.614474992,14.17,20.62,3.44,33.10,35.55,7.95,23.10,2.64,34.15,42.40
20161104,1200,0.55500967,12.43,18.60,3.15,29.65,31.96,6.85,20.83,2.41,30.70,38.09
20161105,1200,0.472890892,10.12,15.81,2.74,24.93,27.03,5.41,17.71,2.09,25.98,32.18
20161106,1200,0.413425571,8.52,13.80,2.44,21.56,23.48,4.44,15.46,1.85,22.57,27.94
20161107,1200,0.365286977,7.26,12.17,2.19,18.86,20.63,3.70,13.64,1.66,19.84,24.52
20161108,1200,0.339801839,6.62,11.31,2.05,17.44,19.12,3.33,12.67,1.56,18.39,22.73
20161109,1200,0.331306793,6.41,11.02,2.01,16.97,18.62,3.21,12.35,1.52,17.91,22.13
20161110,1200,0.308653337,5.85,10.26,1.89,15.71,17.29,2.89,11.50,1.43,16.64,20.54
20161111,1200,0.288831563,5.37,9.59,1.78,14.62,16.13,2.62,10.75,1.35,15.52,19.15
20161112,1200,0.285999881,5.30,9.49,1.77,14.47,15.97,2.58,10.64,1.33,15.36,18.95
20161113,1200,0.308653337,5.85,10.26,1.89,15.71,17.29,2.89,11.50,1.43,16.64,20.54
20161114,1200,0.322811747,6.20,10.73,1.96,16.50,18.13,3.09,12.03,1.49,17.43,21.53
20161115,1200,0.430415663,8.97,14.37,2.52,22.52,24.49,4.71,16.10,1.92,23.54,29.15
20161116,1200,1.177979708,32.64,39.90,6.06,66.93,70.24,20.61,44.65,4.72,67.37,84.13
20161117,1200,1.08170252,29.26,36.59,5.62,61.04,64.24,18.20,40.96,4.38,61.63,76.91
20161118,1200,0.991088697,26.16,33.49,5.21,55.52,58.62,16.01,37.48,4.05,56.25,70.14
20161119,1200,0.940118421,24.44,31.74,4.98,52.44,55.47,14.82,35.53,3.86,53.24,66.35
20161120,1200,0.891979827,22.85,30.09,4.76,49.54,52.50,13.72,33.69,3.68,50.39,62.78
20161121,1200,0.801366003,19.92,27.00,4.33,44.12,46.94,11.73,30.22,3.35,45.06,56.08
20161122,1200,0.68243536,16.21,22.94,3.77,37.08,39.67,9.27,25.69,2.90,38.10,47.36
20161123,1200,0.600316582,13.75,20.14,3.37,32.28,34.69,7.68,22.56,2.59,33.33,41.38
20161124,1200,0.546514624,12.19,18.31,3.11,29.16,31.45,6.69,20.51,2.38,30.21,37.48
20161125,1200,0.529524532,11.70,17.73,3.02,28.18,30.42,6.39,19.86,2.31,29.23,36.26
20161126,1200,0.549346306,12.27,18.41,3.12,29.32,31.62,6.75,20.62,2.39,30.38,37.69
20161127,1200,0.546514624,12.19,18.31,3.11,29.16,31.45,6.69,20.51,2.38,30.21,37.48
20161128,1200,0.51253444,11.22,17.16,2.94,27.20,29.40,6.09,19.22,2.25,28.25,35.03
20161129,1200,0.563504716,12.68,18.89,3.19,30.14,32.47,7.00,21.16,2.44,31.20,38.71
20161130,1200,0.900474873,23.13,30.38,4.79,50.05,53.03,13.92,34.01,3.72,50.90,63.41
20161201,1200,2.089781309,68.01,71.35,9.96,124.44,127.95,47.58,79.79,7.87,122.56,153.83
20161202,1200,2.123761493,69.42,72.53,10.10,126.63,130.12,48.71,81.10,7.98,124.64,156.46
20161203,1200,1.860415068,58.60,63.42,9.00,109.73,113.29,40.16,70.93,7.10,108.56,136.11
20161204,1200,1.684850785,51.62,57.36,8.26,98.58,102.13,34.76,64.15,6.50,97.89,122.62
20161205,1200,1.500791455,44.51,51.01,7.47,86.98,90.49,29.36,57.06,5.86,86.75,108.56
20161206,1200,1.291246988,36.71,43.79,6.56,73.92,77.32,23.57,49.00,5.12,74.15,92.67
20161207,1200,1.101524294,29.95,37.27,5.71,62.25,65.47,18.69,41.72,4.45,62.81,78.39
20161208,1200,0.971266923,25.49,32.81,5.12,54.32,57.40,15.55,36.72,3.97,55.08,68.67
20161209,1200,0.835346187,21.01,28.16,4.49,46.15,49.02,12.47,31.52,3.47,47.06,58.59
20161210,1200,0.645623494,15.09,21.68,3.59,34.92,37.44,8.55,24.28,2.76,35.96,44.67
20161211,1200,0.523861168,11.54,17.54,2.99,27.85,30.08,6.29,19.65,2.29,28.91,35.85
20161212,1200,0.577663126,13.09,19.37,3.26,30.96,33.32,7.26,21.70,2.50,32.01,39.73
20161213,1200,0.727742272,17.60,24.48,3.98,39.75,42.43,10.19,27.41,3.07,40.75,50.67
20161214,1200,0.801366003,19.92,27.00,4.33,44.12,46.94,11.73,30.22,3.35,45.06,56.08
20161215,1200,0.673940314,15.95,22.65,3.73,36.58,39.16,9.10,25.36,2.87,37.61,46.73
20161216,1200,0.574831444,13.00,19.27,3.24,30.80,33.15,7.21,21.59,2.49,31.85,39.53
20161217,1200,0.809861049,20.19,27.29,4.37,44.63,47.46,11.92,30.55,3.38,45.56,56.71
20161218,1200,0.68243536,16.21,22.94,3.77,37.08,39.67,9.27,25.69,2.90,38.10,47.36
20161219,1200,0.55500967,12.43,18.60,3.15,29.65,31.96,6.85,20.83,2.41,30.70,38.09
20161220,1200,0.444574073,9.35,14.85,2.59,23.32,25.34,4.94,16.64,1.98,24.35,30.16
20161221,1200,0.501207712,10.91,16.77,2.88,26.55,28.72,5.90,18.79,2.20,27.60,34.22
20161222,1200,0.891979827,22.85,30.09,4.76,49.54,52.50,13.72,33.69,3.68,50.39,62.78
20161223,1200,0.880653099,22.48,29.71,4.70,48.86,51.81,13.47,33.26,3.64,49.73,61.94
20161224,1200,0.948613467,24.73,32.03,5.02,52.95,56.00,15.02,35.86,3.89,53.74,66.98
20161225,1200,0.959940195,25.11,32.42,5.07,53.64,56.70,15.28,36.29,3.93,54.41,67.82
20161226,1200,0.603148264,13.83,20.24,3.38,32.44,34.86,7.74,22.67,2.60,33.49,41.58
20161227,1200,0.730573954,17.69,24.58,4.00,39.92,42.61,10.25,27.52,3.08,40.91,50.88
20161228,1200,0.908969919,23.41,30.68,4.83,50.56,53.55,14.11,34.34,3.75,51.40,64.04
20161229,1200,0.942950103,24.54,31.84,4.99,52.61,55.65,14.89,35.64,3.87,53.40,66.56
20161230,1200,1.987840758,63.79,67.83,9.54,117.89,121.43,44.24,75.85,7.53,116.33,145.94
20161231,1200,1.815108156,56.78,61.85,8.81,106.85,110.41,38.75,69.18,6.94,105.80,132.62
,,,,,,,,,,,,
