Date,Time,Discharge.cfs,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,DIN_OUT_Scen_kg.day,DON_OUT_Scen_kg.day,PN_OUT_Scen_kg.day
20150822,1200,14.40,7.41,13.62,2.63,4.74,14.52,2.65,4.48,14.31,2.88
20150823,1200,10.40,4.96,9.76,1.96,2.96,10.44,1.97,2.90,10.31,2.17
20150824,1200,8.90,4.09,8.32,1.70,2.36,8.91,1.72,2.36,8.81,1.89
20150825,1200,8.30,3.75,7.75,1.60,2.13,8.31,1.61,2.15,8.22,1.78
20150826,1200,7.80,3.48,7.27,1.51,1.94,7.80,1.52,1.98,7.72,1.68
20150827,1200,6.90,2.99,6.41,1.36,1.63,6.89,1.36,1.68,6.82,1.51
20150828,1200,5.80,2.41,5.37,1.16,1.26,5.77,1.17,1.33,5.73,1.30
20150829,1200,4.90,1.96,4.52,1.00,0.99,4.87,1.00,1.07,4.83,1.12
20150830,1200,4.20,1.62,3.86,0.87,0.79,4.16,0.87,0.87,4.14,0.98
20150831,1200,3.50,1.29,3.20,0.74,0.60,3.46,0.74,0.68,3.44,0.83
20150901,1200,2.40,0.81,2.17,0.52,0.35,2.36,0.53,0.41,2.35,0.60
20150902,1200,1.90,0.61,1.71,0.42,0.25,1.86,0.43,0.30,1.86,0.48
20150903,1200,1.30,0.38,1.16,0.30,0.14,1.27,0.30,0.18,1.27,0.35
20150904,1200,1.00,0.27,0.89,0.24,0.10,0.97,0.24,0.13,0.97,0.27
20150905,1200,0.80,0.21,0.71,0.19,0.07,0.77,0.20,0.09,0.78,0.23
20150906,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20150907,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20150908,1200,0.50,0.12,0.44,0.13,0.04,0.48,0.13,0.05,0.48,0.15
20150909,1200,0.50,0.12,0.44,0.13,0.04,0.48,0.13,0.05,0.48,0.15
